section,year,cache_id,mock_relative_url,mock_absolute_url,mock_name,author_name,published_at,description,intro,external_url,rankings_url,completed_url,completion_percentage,completion_place,most_accurate,temporary_mock,scheduled_to_be_deleted,time_left_before_deletion,top_authors_count,twitter,user_mock,user_premium,selection_count,previous_mock_date_count,list_rank
mock-drafts,2021,mocks/Show-0,/mock-drafts/2021/underdog-fantasy-2021-josh-norris?date=2021-04-29,https://www.nflmockdraftdatabase.com/mock-drafts/2021/underdog-fantasy-2021-josh-norris?date=2021-04-29,Underdog Fantasy,Josh Norris,04/29/21,"Josh Norris’ Final 2021 Mock Draft : Trevor Lawrence is in a tier of his own in this class, and enters a situation surrounded by D.J. Chark, Marvin Jones, Laviska Shenault and James Robinson. Not bad! It will be fascinating to watch a…","Trevor Lawrence is in a tier of his own in this class, and enters a situation surrounded by D.J. Chark, Marvin Jones, Laviska Shenault and James Robinson. Not bad!",https://underblog.underdogfantasy.com/josh-norris-final-2021-mock-draft-d16b05a59102?utm_source=nflmockdraftdatabase&utm_medium=website&utm_content=read_mock_link,https://www.nflmockdraftdatabase.com/big-boards/2021/consensus-big-board-2021,https://www.nflmockdraftdatabase.com/mock-drafts/2021/final-scores,47.12%,1st,True,False,False,05/10/2021 10:19am CDT,1,JoshNorris,False,False,32,2,1
mock-drafts,2021,mocks/Show-0,/mock-drafts/2021/cbs-2021-josh-edwards?date=2021-04-29,https://www.nflmockdraftdatabase.com/mock-drafts/2021/cbs-2021-josh-edwards?date=2021-04-29,CBS,Josh Edwards,04/29/21,"NFL Mock Draft: Five quarterbacks taken in top 12, six overall in first round of final 2021 mock : One defensive player hears his name called in the top 10","A weekly exercise that began in September is finally coming to an end. My final projection is here and it will all unravel with one unforeseen trade tonight. I provided my beliefs on how some of the dramatic storylines play out; namely who San Francisco picks and who trades up for a quarterback.  Without further ado, let's kick this off! ",https://www.cbssports.com/nfl/draft/news/nfl-mock-draft-five-quarterbacks-taken-in-top-12-six-overall-in-first-round-of-final-2021-mock/?utm_source=nflmockdraftdatabase&utm_medium=website&utm_content=read_mock_link,https://www.nflmockdraftdatabase.com/big-boards/2021/consensus-big-board-2021,https://www.nflmockdraftdatabase.com/mock-drafts/2021/final-scores,26.2%,116th,False,False,False,05/07/2021 10:46am CDT,0,EdwardsCBS,False,False,32,36,2
mock-drafts,2021,mocks/Show-0,/mock-drafts/2021/tankathon-2021?date=2021-04-29,https://www.nflmockdraftdatabase.com/mock-drafts/2021/tankathon-2021?date=2021-04-29,Tankathon,Staff,04/29/21,2021 NFL Mock Draft : 2021 NFL Mock Draft. Order updated after every game. Team needs are factored into the player selections.,,http://www.tankathon.com/nfl/mock_draft?utm_source=nflmockdraftdatabase&utm_medium=website&utm_content=read_mock_link,https://www.nflmockdraftdatabase.com/big-boards/2021/consensus-big-board-2021,https://www.nflmockdraftdatabase.com/mock-drafts/2021/final-scores,27.4%,93rd,False,False,False,05/03/2020 12:44am CDT,1,tankathon,False,False,32,1,3
mock-drafts,2021,mocks/Show-0,/mock-drafts/2021/cbs-2021-pete-prisco?date=2021-04-29,https://www.nflmockdraftdatabase.com/mock-drafts/2021/cbs-2021-pete-prisco?date=2021-04-29,CBS,Pete Prisco,04/29/21,NFL Mock Draft 2021: Washington trades into top 10 for Justin Fields in Pete Prisco's final mock draft : Ryan Fitzpatrick and Taylor Heinicke aren't going to cut it for WFT,"This year's final mock might have been one of the toughest I've ever done. It's crazy out there in those streets just hours before the first pick is announced. With all the rumors and gossip going around the league, most personnel people I talked with say this is a tough year to predict. We know the first two picks — or we think we do — but after that, starting with the uncertainty with the 49ers at No. 3, it's hard to gauge this year's first round.",https://www.cbssports.com/nfl/draft/news/nfl-mock-draft-2021-washington-trades-into-top-10-for-justin-fields-in-pete-priscos-final-mock-draft/?utm_source=nflmockdraftdatabase&utm_medium=website&utm_content=read_mock_link,https://www.nflmockdraftdatabase.com/big-boards/2021/consensus-big-board-2021,https://www.nflmockdraftdatabase.com/mock-drafts/2021/final-scores,28.85%,67th,False,False,False,05/06/2021 06:22pm CDT,0,PriscoCBS,False,False,32,6,4
mock-drafts,2021,mocks/Show-0,/mock-drafts/2021/draftwire-2021-luke-easterling?date=2021-04-29,https://www.nflmockdraftdatabase.com/mock-drafts/2021/draftwire-2021-luke-easterling?date=2021-04-29,Draftwire,Luke Easterling,04/29/21,2021 NFL mock draft: Just a fool's hope : Draft Wire editor Luke Easterling makes his final predictions for the first round of the 2021 NFL draft,"Okay, so the hope that Frodo and Sam would successfully destroy The Ring was a bit more dramatic than that of trying to predict the first round of the 2021 NFL draft, or even the attempts all 32 teams will make this weekend to turn their fortunes toward the Super Bowl. But hey, if those two wily little Hobbits could make it all the way into Mordor, maybe I’ve got a shot at getting a few picks right.",https://draftwire.usatoday.com/2021/04/29/2021-nfl-mock-draft-final-1st-round-trades-mac-jones-trey-lance-justin-fields/?utm_source=nflmockdraftdatabase&utm_medium=website&utm_content=read_mock_link,https://www.nflmockdraftdatabase.com/big-boards/2021/consensus-big-board-2021,https://www.nflmockdraftdatabase.com/mock-drafts/2021/final-scores,14.18%,679th,False,False,False,05/06/2021 06:22pm CDT,1,LukeEasterling,False,False,30,36,5
mock-drafts,2021,mocks/Show-0,/mock-drafts/2021/sporting-news-2021-vinnie-iyer?date=2021-04-29,https://www.nflmockdraftdatabase.com/mock-drafts/2021/sporting-news-2021-vinnie-iyer?date=2021-04-29,Sporting News,Vinnie Iyer,04/29/21,"NFL Mock Draft 2021: Justin Fields, DeVonta Smith, Caleb Farley fall in final 3-round projections : Sporting News' final NFL mock draft for 2021 covers the first three rounds with the most updated information and rumors considered for every team's picks.","Sporting News has delivered plenty of NFL mock drafts since the beginning of the 2020 season. With all 32 teams finally set to go on the clock on Thursday night, it's time to offer one last set of projected picks for the 2021 NFL Draft. The most recent SN editions were a full seven-rounder, followed by an updated three-rounder. We decided to go another three rounds one final time with the most updated information and rumors considered with all 105 picks through Days 1 and 2.",https://www.sportingnews.com/us/nfl/news/nfl-mock-draft-2021-3-rounds/ct9ocbv25iow1b382430xqa7x?utm_source=nflmockdraftdatabase&utm_medium=website&utm_content=read_mock_link,https://www.nflmockdraftdatabase.com/big-boards/2021/consensus-big-board-2021,https://www.nflmockdraftdatabase.com/mock-drafts/2021/final-scores,28.13%,77th,False,False,False,05/06/2021 06:24pm CDT,0,vinnieiyer,False,False,32,18,6
mock-drafts,2021,mocks/Show-0,/mock-drafts/2021/action-network-2021-matthew-freedman?date=2021-04-29,https://www.nflmockdraftdatabase.com/mock-drafts/2021/action-network-2021-matthew-freedman?date=2021-04-29,Action Network,Matthew Freedman,04/29/21,"Freedman's Final 2021 NFL Mock Draft : Matthew Freedman reveals his final 2021 NFL mock draft ahead of Thursday's first round, featuring predictions for all 32 picks.","It’s draft day, and this is my final 2021 NFL mock draft. With all the recent trades and rumors, this updated mock looks significantly different from its predecessors.",https://www.actionnetwork.com/nfl/2021-nfl-mock-draft-predictions-first-round-freedman-final?utm_source=nflmockdraftdatabase&utm_medium=website&utm_content=read_mock_link,https://www.nflmockdraftdatabase.com/big-boards/2021/consensus-big-board-2021,https://www.nflmockdraftdatabase.com/mock-drafts/2021/final-scores,28.61%,69th,False,False,False,05/06/2021 03:03pm CDT,3,MattFtheOracle,False,False,32,5,7
mock-drafts,2021,mocks/Show-0,/mock-drafts/2021/action-network-2021-scott-smith?date=2021-04-29,https://www.nflmockdraftdatabase.com/mock-drafts/2021/action-network-2021-scott-smith?date=2021-04-29,Action Network,Scott Smith,04/29/21,Scott Smith's Final 2021 NFL Mock Draft : Analyst Scott Smith reveals his final predictions for all 32 picks in his latest 2021 NFL mock draft ahead of Round 1 on Thursday.,"In special collaboration with The Action Network, you’ll find the final edition of Scott Smith’s 2021 NFL Mock Draft below — Smith was the most accurate mock drafter of 2018 at Mock Draft Database, which grades the accuracy of mock drafts industry-wide, including longtime draft analysts like ESPN’s Mel Kiper. ",https://www.actionnetwork.com/nfl/2021-nfl-mock-draft-predictions-picks-first-round-justin-fields-travis-etienne?utm_source=nflmockdraftdatabase&utm_medium=website&utm_content=read_mock_link,https://www.nflmockdraftdatabase.com/big-boards/2021/consensus-big-board-2021,https://www.nflmockdraftdatabase.com/mock-drafts/2021/final-scores,28.13%,76th,False,False,False,05/06/2021 03:03pm CDT,1,ScottSmithFF,False,False,32,4,8
mock-drafts,2021,mocks/Show-0,/mock-drafts/2021/clutch-points-2021?date=2021-04-29,https://www.nflmockdraftdatabase.com/mock-drafts/2021/clutch-points-2021?date=2021-04-29,Clutch Points,Staff,04/29/21,"2021 NFL Mock Draft After Blockbuster Trades Involving 49ers, Dolphins, Eagles : Here is ClutchPoints' final 2021 NFL Mock Draft, including two new blockbuster trades in the top-10 of the big board with drastic impacts on the future.","With the 2021 NFL Draft finally here, we’ve already had a shakeup occur in the draft order. The Miami Dolphins traded the No. 3 overall pick to the San Francisco 49ers in exchange for the No. 12 overall pick, two future first-round picks, and a future third-round pick.",https://clutchpoints.com/final-2021-nfl-mock-draft-including-two-blockbuster-top-10-trades/?utm_source=nflmockdraftdatabase&utm_medium=website&utm_content=read_mock_link,https://www.nflmockdraftdatabase.com/big-boards/2021/consensus-big-board-2021,https://www.nflmockdraftdatabase.com/mock-drafts/2021/final-scores,21.39%,242nd,False,False,False,05/07/2021 10:46am CDT,0,ClutchPointsApp,False,False,32,1,9
mock-drafts,2021,mocks/Show-0,/mock-drafts/2021/primetime-sports-talk-2021-andersen-pickard?date=2021-04-29,https://www.nflmockdraftdatabase.com/mock-drafts/2021/primetime-sports-talk-2021-andersen-pickard?date=2021-04-29,Primetime Sports Talk,Andersen Pickard,04/29/21,Pickard's 2021 NFL Mock Draft 5.0 - Prime Time Sports Talk : The NFL Draft is just hours away. Andersen Pickard details the first two rounds in his fifth and final mock draft of the year.,"Congratulations. You’ve made it. It’s draft day. Tonight, 32 different NFL front office staffs will meet to orchestrate 32 highly-researched, decisive picks that could spell the fate of the next decade for their franchise. It’s safe to say there is little margin for error. In celebration of the big day finally arriving, let’s run through one final two-round mock draft, complete with nine trades that could shake up the league.",https://primetimesportstalk.com/2021/04/29/pickards-2021-nfl-mock-draft-5-0/?utm_source=nflmockdraftdatabase&utm_medium=website&utm_content=read_mock_link,https://www.nflmockdraftdatabase.com/big-boards/2021/consensus-big-board-2021,https://www.nflmockdraftdatabase.com/mock-drafts/2021/final-scores,30.53%,51st,False,False,False,05/07/2021 10:47am CDT,0,AndersenPickard,False,False,32,5,10
