team_slug,team_name,player_name,player_position,mock_count,unique_mocks,unique_authors,avg_round,median_round,min_round,max_round,avg_pick,median_pick,min_pick,max_pick,team_mock_count,share_of_team_picks
arizona-cardinals,Arizona Cardinals,Byron Young (AL),DL,1,1,1,4.0,4.0,4,4,,,,,9,0.1111111111111111
arizona-cardinals,Arizona Cardinals,Cedric Tillman,WR,1,1,1,2.0,2.0,2,2,,,,,9,0.1111111111111111
arizona-cardinals,Arizona Cardinals,Christian Gonzalez,CB,1,1,1,1.0,1.0,1,1,,,,,9,0.1111111111111111
arizona-cardinals,Arizona Cardinals,Daniel Scott,S,1,1,1,5.0,5.0,5,5,,,,,9,0.1111111111111111
arizona-cardinals,Arizona Cardinals,Darnell Washington,TE,1,1,1,2.0,2.0,2,2,,,,,9,0.1111111111111111
arizona-cardinals,Arizona Cardinals,DeWayne McBride,RB,1,1,1,3.0,3.0,3,3,,,,,9,0.1111111111111111
arizona-cardinals,Arizona Cardinals,John Michael Schmitz,IOL,1,1,1,2.0,2.0,2,2,,,,,9,0.1111111111111111
arizona-cardinals,Arizona Cardinals,McClendon Curtis,IOL,1,1,1,6.0,6.0,6,6,,,,,9,0.1111111111111111
arizona-cardinals,Arizona Cardinals,Tuli Tuipulotu,DL,1,1,1,3.0,3.0,3,3,,,,,9,0.1111111111111111
atlanta-falcons,Atlanta Falcons,Devon Witherspoon,CB,2,2,2,1.0,1.0,1,1,,,,,43,0.046511627906976744
atlanta-falcons,Atlanta Falcons,Josh Downs,WR,2,2,2,2.0,2.0,2,2,,,,,43,0.046511627906976744
atlanta-falcons,Atlanta Falcons,Tre'Vius Hodges-Tomlinson,CB,2,2,2,3.5,3.5,3,4,,,,,43,0.046511627906976744
atlanta-falcons,Atlanta Falcons,Tyjae Spears,RB,2,2,2,3.5,3.5,3,4,,,,,43,0.046511627906976744
atlanta-falcons,Atlanta Falcons,Adetomiwa Adebawore,EDGE,1,1,1,2.0,2.0,2,2,,,,,43,0.023255813953488372
atlanta-falcons,Atlanta Falcons,Anthony Bradford,IOL,1,1,1,4.0,4.0,4,4,,,,,43,0.023255813953488372
atlanta-falcons,Atlanta Falcons,Bryce Young,QB,1,1,1,1.0,1.0,1,1,,,,,43,0.023255813953488372
atlanta-falcons,Atlanta Falcons,Charlie Thomas,LB,1,1,1,7.0,7.0,7,7,,,,,43,0.023255813953488372
atlanta-falcons,Atlanta Falcons,Clayton Tune,QB,1,1,1,7.0,7.0,7,7,,,,,43,0.023255813953488372
atlanta-falcons,Atlanta Falcons,Darrell Luter Jr.,CB,1,1,1,7.0,7.0,7,7,,,,,43,0.023255813953488372
atlanta-falcons,Atlanta Falcons,DeWayne McBride,RB,1,1,1,4.0,4.0,4,4,,,,,43,0.023255813953488372
atlanta-falcons,Atlanta Falcons,Derick Hall,EDGE,1,1,1,2.0,2.0,2,2,,,,,43,0.023255813953488372
atlanta-falcons,Atlanta Falcons,Isaiah McGuire,EDGE,1,1,1,4.0,4.0,4,4,,,,,43,0.023255813953488372
atlanta-falcons,Atlanta Falcons,Jadon Haselwood,WR,1,1,1,7.0,7.0,7,7,,,,,43,0.023255813953488372
atlanta-falcons,Atlanta Falcons,Jahmyr Gibbs,RB,1,1,1,2.0,2.0,2,2,,,,,43,0.023255813953488372
atlanta-falcons,Atlanta Falcons,Jalen Cropper,WR,1,1,1,7.0,7.0,7,7,,,,,43,0.023255813953488372
atlanta-falcons,Atlanta Falcons,Jayden Reed,WR,1,1,1,4.0,4.0,4,4,,,,,43,0.023255813953488372
atlanta-falcons,Atlanta Falcons,Jonathan Mingo,WR,1,1,1,3.0,3.0,3,3,,,,,43,0.023255813953488372
atlanta-falcons,Atlanta Falcons,Karl Brooks,DL,1,1,1,4.0,4.0,4,4,,,,,43,0.023255813953488372
atlanta-falcons,Atlanta Falcons,Lukas Van Ness,EDGE,1,1,1,1.0,1.0,1,1,,,,,43,0.023255813953488372
atlanta-falcons,Atlanta Falcons,Marvin Mims,WR,1,1,1,3.0,3.0,3,3,,,,,43,0.023255813953488372
atlanta-falcons,Atlanta Falcons,Moro Ojomo,DL,1,1,1,4.0,4.0,4,4,,,,,43,0.023255813953488372
atlanta-falcons,Atlanta Falcons,Nick Herbig,LB,1,1,1,3.0,3.0,3,3,,,,,43,0.023255813953488372
atlanta-falcons,Atlanta Falcons,Nolan Smith,EDGE,1,1,1,1.0,1.0,1,1,,,,,43,0.023255813953488372
atlanta-falcons,Atlanta Falcons,O'Cyrus Torrence,IOL,1,1,1,2.0,2.0,2,2,,,,,43,0.023255813953488372
atlanta-falcons,Atlanta Falcons,Parker Washington,WR,1,1,1,5.0,5.0,5,5,,,,,43,0.023255813953488372
atlanta-falcons,Atlanta Falcons,Peter Skoronski,OT,1,1,1,1.0,1.0,1,1,,,,,43,0.023255813953488372
atlanta-falcons,Atlanta Falcons,Rashee Rice,WR,1,1,1,3.0,3.0,3,3,,,,,43,0.023255813953488372
atlanta-falcons,Atlanta Falcons,Ricky Stromberg,IOL,1,1,1,5.0,5.0,5,5,,,,,43,0.023255813953488372
atlanta-falcons,Atlanta Falcons,Roschon Johnson,RB,1,1,1,4.0,4.0,4,4,,,,,43,0.023255813953488372
atlanta-falcons,Atlanta Falcons,Stetson Bennett IV,QB,1,1,1,7.0,7.0,7,7,,,,,43,0.023255813953488372
atlanta-falcons,Atlanta Falcons,Steve Avila,IOL,1,1,1,2.0,2.0,2,2,,,,,43,0.023255813953488372
atlanta-falcons,Atlanta Falcons,Sydney Brown,S,1,1,1,2.0,2.0,2,2,,,,,43,0.023255813953488372
atlanta-falcons,Atlanta Falcons,Travis Dye,RB,1,1,1,7.0,7.0,7,7,,,,,43,0.023255813953488372
atlanta-falcons,Atlanta Falcons,Trenton Simpson,LB,1,1,1,2.0,2.0,2,2,,,,,43,0.023255813953488372
atlanta-falcons,Atlanta Falcons,Trevor Reid,OT,1,1,1,7.0,7.0,7,7,,,,,43,0.023255813953488372
