author_name,mock_name,mocks_scraped,avg_custom_accuracy_score,avg_simple_score_points,avg_simple_score_rate,avg_round_one_player_match_rate,avg_player_to_pick_match_rate,avg_player_to_team_match_rate,avg_team_to_position_match_rate,avg_round_match_rate,avg_player_drafted_match_rate,avg_correct_player_in_round_rate,avg_same_position_same_round_rate,avg_same_position_plus_minus_one_round_rate,avg_generous_score_points,avg_generous_score_rate,avg_mean_pick_abs_error
Staff,Rotoballer,1,66.66666666666666,6.0,0.6666666666666666,0.3333333333333333,0.0,0.6666666666666666,0.0,1.0,1.0,0.6666666666666666,0.0,0.0,6.0,0.6666666666666666,
Justin Melo,Bears Talk,1,66.66666666666666,8.0,0.6666666666666666,0.5,0.0,0.25,0.0,0.75,1.0,0.25,0.5,0.25,8.0,0.6666666666666666,
Dan Duggan,The Athletic,1,61.111111111111114,11.0,0.6111111111111112,0.16666666666666666,0.0,0.5,0.0,0.6666666666666666,1.0,0.5,0.16666666666666666,0.0,11.0,0.6111111111111112,
Ross McCorkle,Steelers Depot,1,57.14285714285714,12.0,0.5714285714285714,0.14285714285714285,0.0,0.2857142857142857,0.0,0.42857142857142855,0.8571428571428571,0.14285714285714285,0.5714285714285714,0.14285714285714285,12.0,0.5714285714285714,
Sravan Gannavarapu,NFL Spin Zone,1,55.55555555555556,5.0,0.5555555555555556,1.0,0.0,0.3333333333333333,0.0,1.0,1.0,0.3333333333333333,0.3333333333333333,0.0,5.0,0.5555555555555556,
Evan Western,Acme Packing Company,1,53.333333333333336,8.0,0.5333333333333333,0.2,0.0,0.4,0.0,0.8,1.0,0.4,0.2,0.0,8.0,0.5333333333333333,
Andrew Falce,Still Curtain,1,52.38095238095239,11.0,0.5238095238095238,0.14285714285714285,0.0,0.0,0.0,0.5714285714285714,1.0,0.0,0.7142857142857143,0.14285714285714285,11.0,0.5238095238095238,
Alyssa Barbieri,Bears Wire,1,50.0,6.0,0.5,0.5,0.0,0.75,0.0,0.5,0.75,0.5,0.0,0.0,6.0,0.5,
Josh Schrock,NBC Sports Chicago,1,50.0,6.0,0.5,0.5,0.0,0.75,0.0,0.5,1.0,0.5,0.0,0.0,6.0,0.5,
Pete Martuneac,Bears Talk,1,50.0,9.0,0.5,0.3333333333333333,0.0,0.5,0.0,0.5,1.0,0.3333333333333333,0.16666666666666666,0.16666666666666666,9.0,0.5,
