author_name,mock_name,mocks_scraped,avg_custom_accuracy_score,avg_simple_score_points,avg_simple_score_rate,avg_round_one_player_match_rate,avg_player_to_pick_match_rate,avg_player_to_team_match_rate,avg_team_to_position_match_rate,avg_round_match_rate,avg_player_drafted_match_rate,avg_mean_pick_abs_error
Connor Hughes,SNY,1,66.66666666666666,20.0,0.6666666666666666,1.0,0.6,0.5,0.5,1.0,1.0,1.4
Jeff Howe,The Athletic,1,66.66666666666666,20.0,0.6666666666666666,1.0,0.7,0.5,0.5,1.0,1.0,3.4
Frank Schwab,Yahoo,1,63.33333333333333,19.0,0.6333333333333333,0.9,0.7,0.5,0.6,0.9,1.0,14.6
Gavino Borquez,Newsweek,1,63.33333333333333,19.0,0.6333333333333333,0.9,0.7,0.5,0.5,0.9,1.0,15.0
Charlie Campbell,Walter Football,1,54.666666666666664,41.0,0.5466666666666666,0.92,0.2,0.36,0.12,0.92,1.0,7.6
Nick Jacobs,KSHB,1,54.166666666666664,52.0,0.5416666666666666,0.875,0.375,0.375,0.40625,0.875,1.0,5.75
Lou Scataglia,NFL Spin Zone,1,53.333333333333336,16.0,0.5333333333333333,1.0,0.4,0.3,0.3,1.0,1.0,4.4
Anthony Rizzuti,Panthers Wire,1,53.125,51.0,0.53125,0.84375,0.3125,0.375,0.375,0.84375,1.0,9.09375
Judah Fortgang,Pro Football Focus,1,52.083333333333336,25.0,0.5208333333333334,0.9375,0.4375,0.3125,0.5,0.9375,1.0,10.5
Jared Smola,Draft Sharks,1,51.041666666666664,49.0,0.5104166666666666,0.90625,0.28125,0.3125,0.34375,0.90625,1.0,8.78125
Jacob Camenker,USA Today,1,50.0,48.0,0.5,0.875,0.28125,0.3125,0.40625,0.875,1.0,6.40625
Pete Prisco,CBS,1,50.0,48.0,0.5,0.875,0.25,0.3125,0.34375,0.875,1.0,6.375
Nick Guarisco,Fantasy Law Guy,1,50.0,48.0,0.5,0.9375,0.25,0.28125,0.375,0.9375,1.0,4.28125
Scott Smith,4 For 4,1,50.0,48.0,0.5,0.9375,0.25,0.28125,0.28125,0.9375,1.0,4.59375
Dan Hope,Eleven Warriors,1,48.95833333333333,47.0,0.4895833333333333,0.84375,0.3125,0.3125,0.28125,0.84375,1.0,8.84375
Freddy Branson,Johns Hopkins News-Letter,1,48.95833333333333,47.0,0.4895833333333333,0.84375,0.375,0.3125,0.34375,0.84375,1.0,9.53125
Ryan Noonan,4 For 4,1,48.95833333333333,47.0,0.4895833333333333,0.84375,0.25,0.3125,0.3125,0.84375,1.0,9.46875
Scotty Payne,Mile High Report,1,48.95833333333333,47.0,0.4895833333333333,0.84375,0.28125,0.3125,0.3125,0.84375,1.0,10.28125
Trevor Sikkema,Pro Football Focus,1,48.95833333333333,47.0,0.4895833333333333,0.84375,0.28125,0.3125,0.28125,0.84375,1.0,10.34375
Kyle Stackpole,CBS,1,48.95833333333333,47.0,0.4895833333333333,0.90625,0.25,0.28125,0.28125,0.90625,1.0,6.21875
Walter Cherepinsky,Walter Football,1,48.95833333333333,47.0,0.4895833333333333,0.90625,0.25,0.28125,0.28125,0.90625,1.0,6.625
Colin Cowherd,Fox Sports,1,48.888888888888886,22.0,0.4888888888888889,0.9333333333333333,0.4,0.26666666666666666,0.26666666666666666,0.9333333333333333,1.0,6.066666666666666
John Kosko,Pro Football Focus,1,47.91666666666667,46.0,0.4791666666666667,0.75,0.25,0.34375,0.28125,0.75,1.0,15.5625
Jaime Eisner,The Draft Network,1,47.91666666666667,46.0,0.4791666666666667,0.8125,0.28125,0.3125,0.3125,0.8125,1.0,9.9375
Andrew Erickson,Fantasy Pros,1,46.875,45.0,0.46875,0.84375,0.3125,0.28125,0.375,0.84375,1.0,7.71875
Evan Wanish,Bucs Nation,1,46.875,45.0,0.46875,0.84375,0.25,0.28125,0.25,0.84375,1.0,11.1875
Joe Rivera,USA Today,1,46.875,45.0,0.46875,0.84375,0.28125,0.28125,0.28125,0.84375,1.0,10.4375
Michelle R. Martinelli,For The Win,1,46.875,45.0,0.46875,0.84375,0.28125,0.28125,0.28125,0.84375,1.0,10.4375
Mike Band,NFL.com,1,46.875,45.0,0.46875,0.84375,0.34375,0.28125,0.375,0.84375,1.0,11.0
Sam Teets,Sports Talk,1,46.875,45.0,0.46875,0.84375,0.25,0.28125,0.34375,0.84375,1.0,6.75
Sean Balzer,NFL Draft Lounge,1,46.875,45.0,0.46875,0.84375,0.25,0.28125,0.28125,0.84375,1.0,9.90625
Nick Brinkerhoff,USA Today,1,45.83333333333333,44.0,0.4583333333333333,0.75,0.3125,0.3125,0.3125,0.75,1.0,17.125
Anthony Amico,In The Aggregate,1,45.83333333333333,44.0,0.4583333333333333,0.8125,0.3125,0.28125,0.34375,0.8125,1.0,9.8125
Emory Hunt,CBS,1,45.83333333333333,44.0,0.4583333333333333,0.8125,0.21875,0.28125,0.3125,0.8125,1.0,13.75
Owain Jones,College Football Network,1,45.83333333333333,44.0,0.4583333333333333,0.8125,0.28125,0.28125,0.25,0.8125,1.0,12.78125
Pat Fitzmaurice,Fantasy Pros,1,45.83333333333333,44.0,0.4583333333333333,0.8125,0.28125,0.28125,0.3125,0.8125,1.0,8.125
Andrew Caley,Covers,1,45.83333333333333,44.0,0.4583333333333333,0.875,0.21875,0.25,0.28125,0.875,1.0,6.25
Brad Biggs,Chicago Tribune,1,45.83333333333333,44.0,0.4583333333333333,0.875,0.21875,0.25,0.375,0.875,1.0,6.71875
Jake Rosen,Upside Football,1,45.83333333333333,44.0,0.4583333333333333,0.875,0.21875,0.25,0.34375,0.875,1.0,7.0
Jeff Ratcliffe,FTN Fantasy,1,45.83333333333333,44.0,0.4583333333333333,0.875,0.25,0.25,0.34375,0.875,1.0,5.34375
Jonathan Jones,CBS,1,45.83333333333333,44.0,0.4583333333333333,0.875,0.28125,0.25,0.34375,0.875,1.0,6.1875
Kyle Dvorchak,NBC Sports,1,45.83333333333333,44.0,0.4583333333333333,0.875,0.28125,0.25,0.34375,0.875,1.0,6.90625
Phil Perry,NBC Sports Boston,1,45.83333333333333,44.0,0.4583333333333333,0.875,0.21875,0.25,0.34375,0.875,1.0,10.4375
Richard Janvrin,Fantasy Pros,1,45.83333333333333,44.0,0.4583333333333333,0.875,0.21875,0.25,0.34375,0.875,1.0,6.4375
Cody Benjamin,CBS,1,44.79166666666667,43.0,0.4479166666666667,0.78125,0.1875,0.28125,0.21875,0.78125,1.0,15.25
