section,year,mock_relative_url,mock_absolute_url,mock_name,author_name,published_at,external_url,pick,pick_label,round_number,player_name,player_position,player_url,college_name,college_url,team_slug,team_name,team_url,team_color,correct,traded,user_pick,blurb,value_pick,reach_pick,rare_pick,in_mock_year,source_team_slug,source_team_name,source_team_code,source_team_city,source_team_page_url,source_team_page_number,source_team_total_pages,source_team_year
teams,2025,/team-mock-drafts/2025/cardinals-cards-wire-2025-jess-root?date=2025-04-12,https://www.nflmockdraftdatabase.com/team-mock-drafts/2025/cardinals-cards-wire-2025-jess-root?date=2025-04-12,Cards Wire,Jess Root,04/12/25,https://cardswire.usatoday.com/story/sports/nfl/cardinals/2025/04/12/nfl-mock-draft-arizona-cardinals-trade-fill-needs-in-7-round-mock/83059631007/?utm_source=nflmockdraftdatabase&utm_medium=website&utm_content=read_mock_link,,R1,1,Mykel Williams,EDGE,https://www.nflmockdraftdatabase.com/players/2025/mykel-williams,Georgia,https://www.nflmockdraftdatabase.com/colleges/2025/georgia-bulldogs,arizona-cardinals,Arizona Cardinals,https://www.nflmockdraftdatabase.com/teams/2025/arizona-cardinals,#9B2743,False,,False,,False,False,False,True,arizona-cardinals,Arizona Cardinals,ARI,Arizona,https://www.nflmockdraftdatabase.com/teams/2026/arizona-cardinals,1,1,2025
teams,2025,/team-mock-drafts/2025/cardinals-cards-wire-2025-jess-root?date=2025-04-12,https://www.nflmockdraftdatabase.com/team-mock-drafts/2025/cardinals-cards-wire-2025-jess-root?date=2025-04-12,Cards Wire,Jess Root,04/12/25,https://cardswire.usatoday.com/story/sports/nfl/cardinals/2025/04/12/nfl-mock-draft-arizona-cardinals-trade-fill-needs-in-7-round-mock/83059631007/?utm_source=nflmockdraftdatabase&utm_medium=website&utm_content=read_mock_link,,R2,2,Kenneth Grant,DL,https://www.nflmockdraftdatabase.com/players/2025/kenneth-grant,Michigan,https://www.nflmockdraftdatabase.com/colleges/2025/michigan-wolverines,arizona-cardinals,Arizona Cardinals,https://www.nflmockdraftdatabase.com/teams/2025/arizona-cardinals,#9B2743,False,,False,,False,False,False,True,arizona-cardinals,Arizona Cardinals,ARI,Arizona,https://www.nflmockdraftdatabase.com/teams/2026/arizona-cardinals,1,1,2025
teams,2025,/team-mock-drafts/2025/cardinals-cards-wire-2025-jess-root?date=2025-04-12,https://www.nflmockdraftdatabase.com/team-mock-drafts/2025/cardinals-cards-wire-2025-jess-root?date=2025-04-12,Cards Wire,Jess Root,04/12/25,https://cardswire.usatoday.com/story/sports/nfl/cardinals/2025/04/12/nfl-mock-draft-arizona-cardinals-trade-fill-needs-in-7-round-mock/83059631007/?utm_source=nflmockdraftdatabase&utm_medium=website&utm_content=read_mock_link,,R3,3,Emery Jones Jr.,OT,https://www.nflmockdraftdatabase.com/players/2025/emery-jones-jr,LSU,https://www.nflmockdraftdatabase.com/colleges/2025/lsu-tigers,arizona-cardinals,Arizona Cardinals,https://www.nflmockdraftdatabase.com/teams/2025/arizona-cardinals,#9B2743,False,,False,,False,False,False,True,arizona-cardinals,Arizona Cardinals,ARI,Arizona,https://www.nflmockdraftdatabase.com/teams/2026/arizona-cardinals,1,1,2025
teams,2025,/team-mock-drafts/2025/cardinals-cards-wire-2025-jess-root?date=2025-04-12,https://www.nflmockdraftdatabase.com/team-mock-drafts/2025/cardinals-cards-wire-2025-jess-root?date=2025-04-12,Cards Wire,Jess Root,04/12/25,https://cardswire.usatoday.com/story/sports/nfl/cardinals/2025/04/12/nfl-mock-draft-arizona-cardinals-trade-fill-needs-in-7-round-mock/83059631007/?utm_source=nflmockdraftdatabase&utm_medium=website&utm_content=read_mock_link,,R4,4,Tai Felton,WR,https://www.nflmockdraftdatabase.com/players/2025/tai-felton,Maryland,https://www.nflmockdraftdatabase.com/colleges/2025/maryland-terrapins,arizona-cardinals,Arizona Cardinals,https://www.nflmockdraftdatabase.com/teams/2025/arizona-cardinals,#9B2743,False,,False,,False,False,False,True,arizona-cardinals,Arizona Cardinals,ARI,Arizona,https://www.nflmockdraftdatabase.com/teams/2026/arizona-cardinals,1,1,2025
teams,2025,/team-mock-drafts/2025/cardinals-cards-wire-2025-jess-root?date=2025-04-12,https://www.nflmockdraftdatabase.com/team-mock-drafts/2025/cardinals-cards-wire-2025-jess-root?date=2025-04-12,Cards Wire,Jess Root,04/12/25,https://cardswire.usatoday.com/story/sports/nfl/cardinals/2025/04/12/nfl-mock-draft-arizona-cardinals-trade-fill-needs-in-7-round-mock/83059631007/?utm_source=nflmockdraftdatabase&utm_medium=website&utm_content=read_mock_link,,R5,5,Jamon Dumas-Johnson,LB,https://www.nflmockdraftdatabase.com/players/2025/jamon-dumas-johnson,Kentucky,https://www.nflmockdraftdatabase.com/colleges/2025/kentucky-wildcats,arizona-cardinals,Arizona Cardinals,https://www.nflmockdraftdatabase.com/teams/2025/arizona-cardinals,#9B2743,False,,False,,False,False,False,True,arizona-cardinals,Arizona Cardinals,ARI,Arizona,https://www.nflmockdraftdatabase.com/teams/2026/arizona-cardinals,1,1,2025
teams,2025,/team-mock-drafts/2025/cardinals-cards-wire-2025-jess-root?date=2025-04-12,https://www.nflmockdraftdatabase.com/team-mock-drafts/2025/cardinals-cards-wire-2025-jess-root?date=2025-04-12,Cards Wire,Jess Root,04/12/25,https://cardswire.usatoday.com/story/sports/nfl/cardinals/2025/04/12/nfl-mock-draft-arizona-cardinals-trade-fill-needs-in-7-round-mock/83059631007/?utm_source=nflmockdraftdatabase&utm_medium=website&utm_content=read_mock_link,,R7,7,Luke Lachey,TE,https://www.nflmockdraftdatabase.com/players/2025/luke-lachey,Iowa,https://www.nflmockdraftdatabase.com/colleges/2025/iowa-hawkeyes,arizona-cardinals,Arizona Cardinals,https://www.nflmockdraftdatabase.com/teams/2025/arizona-cardinals,#9B2743,False,,False,,False,False,False,True,arizona-cardinals,Arizona Cardinals,ARI,Arizona,https://www.nflmockdraftdatabase.com/teams/2026/arizona-cardinals,1,1,2025
teams,2025,/team-mock-drafts/2025/cardinals-si-2025-richie-bradshaw?date=2025-04-24,https://www.nflmockdraftdatabase.com/team-mock-drafts/2025/cardinals-si-2025-richie-bradshaw?date=2025-04-24,SI,Richie Bradshaw,04/24/25,https://www.si.com/nfl/cardinals/news/final-arizona-cardinals-nfl-mock-draft-2025?utm_source=nflmockdraftdatabase&utm_medium=website&utm_content=read_mock_link,,R1,1,Josh Simmons,OT,https://www.nflmockdraftdatabase.com/players/2025/josh-simmons,Ohio State,https://www.nflmockdraftdatabase.com/colleges/2025/ohio-state-buckeyes,arizona-cardinals,Arizona Cardinals,https://www.nflmockdraftdatabase.com/teams/2025/arizona-cardinals,#9B2743,False,,False,,False,False,False,True,arizona-cardinals,Arizona Cardinals,ARI,Arizona,https://www.nflmockdraftdatabase.com/teams/2026/arizona-cardinals,1,1,2025
teams,2025,/team-mock-drafts/2025/cardinals-si-2025-richie-bradshaw?date=2025-04-24,https://www.nflmockdraftdatabase.com/team-mock-drafts/2025/cardinals-si-2025-richie-bradshaw?date=2025-04-24,SI,Richie Bradshaw,04/24/25,https://www.si.com/nfl/cardinals/news/final-arizona-cardinals-nfl-mock-draft-2025?utm_source=nflmockdraftdatabase&utm_medium=website&utm_content=read_mock_link,,R2,2,Jayden Higgins,WR,https://www.nflmockdraftdatabase.com/players/2025/jayden-higgins,Iowa State,https://www.nflmockdraftdatabase.com/colleges/2025/iowa-state-cyclones,arizona-cardinals,Arizona Cardinals,https://www.nflmockdraftdatabase.com/teams/2025/arizona-cardinals,#9B2743,False,,False,,False,False,False,True,arizona-cardinals,Arizona Cardinals,ARI,Arizona,https://www.nflmockdraftdatabase.com/teams/2026/arizona-cardinals,1,1,2025
teams,2025,/team-mock-drafts/2025/cardinals-si-2025-richie-bradshaw?date=2025-04-24,https://www.nflmockdraftdatabase.com/team-mock-drafts/2025/cardinals-si-2025-richie-bradshaw?date=2025-04-24,SI,Richie Bradshaw,04/24/25,https://www.si.com/nfl/cardinals/news/final-arizona-cardinals-nfl-mock-draft-2025?utm_source=nflmockdraftdatabase&utm_medium=website&utm_content=read_mock_link,,R3,3,Jack Sawyer,EDGE,https://www.nflmockdraftdatabase.com/players/2025/jack-sawyer,Ohio State,https://www.nflmockdraftdatabase.com/colleges/2025/ohio-state-buckeyes,arizona-cardinals,Arizona Cardinals,https://www.nflmockdraftdatabase.com/teams/2025/arizona-cardinals,#9B2743,False,,False,,False,False,False,True,arizona-cardinals,Arizona Cardinals,ARI,Arizona,https://www.nflmockdraftdatabase.com/teams/2026/arizona-cardinals,1,1,2025
teams,2025,/team-mock-drafts/2025/cardinals-si-2025-richie-bradshaw?date=2025-04-24,https://www.nflmockdraftdatabase.com/team-mock-drafts/2025/cardinals-si-2025-richie-bradshaw?date=2025-04-24,SI,Richie Bradshaw,04/24/25,https://www.si.com/nfl/cardinals/news/final-arizona-cardinals-nfl-mock-draft-2025?utm_source=nflmockdraftdatabase&utm_medium=website&utm_content=read_mock_link,,R4,4,Miles Frazier,IOL,https://www.nflmockdraftdatabase.com/players/2025/miles-frazier,LSU,https://www.nflmockdraftdatabase.com/colleges/2025/lsu-tigers,arizona-cardinals,Arizona Cardinals,https://www.nflmockdraftdatabase.com/teams/2025/arizona-cardinals,#9B2743,False,,False,,False,False,False,True,arizona-cardinals,Arizona Cardinals,ARI,Arizona,https://www.nflmockdraftdatabase.com/teams/2026/arizona-cardinals,1,1,2025
