year,team_slug,team_name,team_code,team_city,team_page_url,pick,window_name,rank,count,player_name,player_position,college_name,player_url
2025,arizona-cardinals,Arizona Cardinals,ARI,Arizona,https://www.nflmockdraftdatabase.com/teams/2026/arizona-cardinals,16,one_week,1,27,Will Johnson,CB,Michigan,https://www.nflmockdraftdatabase.com/players/2025/will-johnson
2025,arizona-cardinals,Arizona Cardinals,ARI,Arizona,https://www.nflmockdraftdatabase.com/teams/2026/arizona-cardinals,16,one_week,2,26,Jahdae Barron,CB,Texas,https://www.nflmockdraftdatabase.com/players/2025/jahdae-barron
2025,arizona-cardinals,Arizona Cardinals,ARI,Arizona,https://www.nflmockdraftdatabase.com/teams/2026/arizona-cardinals,16,one_week,3,18,Shemar Stewart,EDGE,Texas A&M,https://www.nflmockdraftdatabase.com/players/2025/shemar-stewart
2025,arizona-cardinals,Arizona Cardinals,ARI,Arizona,https://www.nflmockdraftdatabase.com/teams/2026/arizona-cardinals,16,one_week,4,16,Mykel Williams,EDGE,Georgia,https://www.nflmockdraftdatabase.com/players/2025/mykel-williams
2025,arizona-cardinals,Arizona Cardinals,ARI,Arizona,https://www.nflmockdraftdatabase.com/teams/2026/arizona-cardinals,16,one_week,4,132,Other,,,https://www.nflmockdraftdatabase.com
2025,arizona-cardinals,Arizona Cardinals,ARI,Arizona,https://www.nflmockdraftdatabase.com/teams/2026/arizona-cardinals,16,two_weeks,1,9,Jahdae Barron,CB,Texas,https://www.nflmockdraftdatabase.com/players/2025/jahdae-barron
2025,arizona-cardinals,Arizona Cardinals,ARI,Arizona,https://www.nflmockdraftdatabase.com/teams/2026/arizona-cardinals,16,two_weeks,2,9,Mykel Williams,EDGE,Georgia,https://www.nflmockdraftdatabase.com/players/2025/mykel-williams
2025,arizona-cardinals,Arizona Cardinals,ARI,Arizona,https://www.nflmockdraftdatabase.com/teams/2026/arizona-cardinals,16,two_weeks,3,8,Matthew Golden,WR,Texas,https://www.nflmockdraftdatabase.com/players/2025/matthew-golden
2025,arizona-cardinals,Arizona Cardinals,ARI,Arizona,https://www.nflmockdraftdatabase.com/teams/2026/arizona-cardinals,16,two_weeks,4,7,Will Johnson,CB,Michigan,https://www.nflmockdraftdatabase.com/players/2025/will-johnson
2025,arizona-cardinals,Arizona Cardinals,ARI,Arizona,https://www.nflmockdraftdatabase.com/teams/2026/arizona-cardinals,16,two_weeks,4,46,Other,,,https://www.nflmockdraftdatabase.com
2025,arizona-cardinals,Arizona Cardinals,ARI,Arizona,https://www.nflmockdraftdatabase.com/teams/2026/arizona-cardinals,16,one_month,1,17,Jihaad Campbell,LB,Alabama,https://www.nflmockdraftdatabase.com/players/2025/jihaad-campbell
2025,arizona-cardinals,Arizona Cardinals,ARI,Arizona,https://www.nflmockdraftdatabase.com/teams/2026/arizona-cardinals,16,one_month,2,14,Kenneth Grant,DL,Michigan,https://www.nflmockdraftdatabase.com/players/2025/kenneth-grant
2025,arizona-cardinals,Arizona Cardinals,ARI,Arizona,https://www.nflmockdraftdatabase.com/teams/2026/arizona-cardinals,16,one_month,3,13,Jahdae Barron,CB,Texas,https://www.nflmockdraftdatabase.com/players/2025/jahdae-barron
2025,arizona-cardinals,Arizona Cardinals,ARI,Arizona,https://www.nflmockdraftdatabase.com/teams/2026/arizona-cardinals,16,one_month,4,12,Will Johnson,CB,Michigan,https://www.nflmockdraftdatabase.com/players/2025/will-johnson
2025,arizona-cardinals,Arizona Cardinals,ARI,Arizona,https://www.nflmockdraftdatabase.com/teams/2026/arizona-cardinals,16,one_month,4,92,Other,,,https://www.nflmockdraftdatabase.com
2025,arizona-cardinals,Arizona Cardinals,ARI,Arizona,https://www.nflmockdraftdatabase.com/teams/2026/arizona-cardinals,16,two_months,1,37,Kenneth Grant,DL,Michigan,https://www.nflmockdraftdatabase.com/players/2025/kenneth-grant
2025,arizona-cardinals,Arizona Cardinals,ARI,Arizona,https://www.nflmockdraftdatabase.com/teams/2026/arizona-cardinals,16,two_months,2,25,Walter Nolen,DL,Mississippi,https://www.nflmockdraftdatabase.com/players/2025/walter-nolen
2025,arizona-cardinals,Arizona Cardinals,ARI,Arizona,https://www.nflmockdraftdatabase.com/teams/2026/arizona-cardinals,16,two_months,3,19,Mykel Williams,EDGE,Georgia,https://www.nflmockdraftdatabase.com/players/2025/mykel-williams
2025,arizona-cardinals,Arizona Cardinals,ARI,Arizona,https://www.nflmockdraftdatabase.com/teams/2026/arizona-cardinals,16,two_months,4,18,Mike Green,EDGE,Marshall,https://www.nflmockdraftdatabase.com/players/2025/mike-green
2025,arizona-cardinals,Arizona Cardinals,ARI,Arizona,https://www.nflmockdraftdatabase.com/teams/2026/arizona-cardinals,16,two_months,4,126,Other,,,https://www.nflmockdraftdatabase.com
2025,arizona-cardinals,Arizona Cardinals,ARI,Arizona,https://www.nflmockdraftdatabase.com/teams/2026/arizona-cardinals,16,all_time,1,92,Kenneth Grant,DL,Michigan,https://www.nflmockdraftdatabase.com/players/2025/kenneth-grant
2025,arizona-cardinals,Arizona Cardinals,ARI,Arizona,https://www.nflmockdraftdatabase.com/teams/2026/arizona-cardinals,16,all_time,2,77,Mykel Williams,EDGE,Georgia,https://www.nflmockdraftdatabase.com/players/2025/mykel-williams
2025,arizona-cardinals,Arizona Cardinals,ARI,Arizona,https://www.nflmockdraftdatabase.com/teams/2026/arizona-cardinals,16,all_time,3,72,James Pearce Jr.,EDGE,Tennessee,https://www.nflmockdraftdatabase.com/players/2025/james-pearce-jr
2025,arizona-cardinals,Arizona Cardinals,ARI,Arizona,https://www.nflmockdraftdatabase.com/teams/2026/arizona-cardinals,16,all_time,4,70,Walter Nolen,DL,Mississippi,https://www.nflmockdraftdatabase.com/players/2025/walter-nolen
2025,arizona-cardinals,Arizona Cardinals,ARI,Arizona,https://www.nflmockdraftdatabase.com/teams/2026/arizona-cardinals,16,all_time,4,700,Other,,,https://www.nflmockdraftdatabase.com
2025,atlanta-falcons,Atlanta Falcons,ATL,Atlanta,https://www.nflmockdraftdatabase.com/teams/2026/atlanta-falcons,15,one_week,1,76,Mike Green,EDGE,Marshall,https://www.nflmockdraftdatabase.com/players/2025/mike-green
2025,atlanta-falcons,Atlanta Falcons,ATL,Atlanta,https://www.nflmockdraftdatabase.com/teams/2026/atlanta-falcons,15,one_week,2,50,Mykel Williams,EDGE,Georgia,https://www.nflmockdraftdatabase.com/players/2025/mykel-williams
2025,atlanta-falcons,Atlanta Falcons,ATL,Atlanta,https://www.nflmockdraftdatabase.com/teams/2026/atlanta-falcons,15,one_week,3,21,Shemar Stewart,EDGE,Texas A&M,https://www.nflmockdraftdatabase.com/players/2025/shemar-stewart
2025,atlanta-falcons,Atlanta Falcons,ATL,Atlanta,https://www.nflmockdraftdatabase.com/teams/2026/atlanta-falcons,15,one_week,4,18,James Pearce Jr.,EDGE,Tennessee,https://www.nflmockdraftdatabase.com/players/2025/james-pearce-jr
2025,atlanta-falcons,Atlanta Falcons,ATL,Atlanta,https://www.nflmockdraftdatabase.com/teams/2026/atlanta-falcons,15,one_week,4,55,Other,,,https://www.nflmockdraftdatabase.com
2025,atlanta-falcons,Atlanta Falcons,ATL,Atlanta,https://www.nflmockdraftdatabase.com/teams/2026/atlanta-falcons,15,two_weeks,1,29,Mike Green,EDGE,Marshall,https://www.nflmockdraftdatabase.com/players/2025/mike-green
2025,atlanta-falcons,Atlanta Falcons,ATL,Atlanta,https://www.nflmockdraftdatabase.com/teams/2026/atlanta-falcons,15,two_weeks,2,12,Mykel Williams,EDGE,Georgia,https://www.nflmockdraftdatabase.com/players/2025/mykel-williams
2025,atlanta-falcons,Atlanta Falcons,ATL,Atlanta,https://www.nflmockdraftdatabase.com/teams/2026/atlanta-falcons,15,two_weeks,3,11,Shemar Stewart,EDGE,Texas A&M,https://www.nflmockdraftdatabase.com/players/2025/shemar-stewart
