team_slug,team_name,player_position,mock_count,unique_players,avg_round,median_round,min_round,max_round,avg_pick,median_pick,min_pick,max_pick
arizona-cardinals,Arizona Cardinals,DL,2,2,3.5,3.5,2,5,,,,
arizona-cardinals,Arizona Cardinals,EDGE,2,2,2.0,2.0,1,3,,,,
arizona-cardinals,Arizona Cardinals,OT,2,2,2.0,2.0,1,3,,,,
arizona-cardinals,Arizona Cardinals,WR,2,2,3.0,3.0,2,4,,,,
arizona-cardinals,Arizona Cardinals,CB,1,1,7.0,7.0,7,7,,,,
arizona-cardinals,Arizona Cardinals,IOL,1,1,4.0,4.0,4,4,,,,
arizona-cardinals,Arizona Cardinals,LB,1,1,5.0,5.0,5,5,,,,
arizona-cardinals,Arizona Cardinals,TE,1,1,7.0,7.0,7,7,,,,
atlanta-falcons,Atlanta Falcons,EDGE,4,4,2.75,2.5,1,5,,,,
atlanta-falcons,Atlanta Falcons,CB,2,2,2.0,2.0,2,2,,,,
atlanta-falcons,Atlanta Falcons,IOL,2,2,4.0,4.0,4,4,,,,
atlanta-falcons,Atlanta Falcons,S,2,2,4.5,4.5,2,7,,,,
atlanta-falcons,Atlanta Falcons,DL,1,1,3.0,3.0,3,3,,,,
atlanta-falcons,Atlanta Falcons,OT,1,1,7.0,7.0,7,7,,,,
baltimore-ravens,Baltimore Ravens,CB,2,2,4.0,4.0,2,6,,,,
baltimore-ravens,Baltimore Ravens,DL,1,1,5.0,5.0,5,5,,,,
baltimore-ravens,Baltimore Ravens,EDGE,1,1,1.0,1.0,1,1,,,,
baltimore-ravens,Baltimore Ravens,IOL,1,1,6.0,6.0,6,6,,,,
baltimore-ravens,Baltimore Ravens,K,1,1,7.0,7.0,7,7,,,,
baltimore-ravens,Baltimore Ravens,OT,1,1,4.0,4.0,4,4,,,,
baltimore-ravens,Baltimore Ravens,RB,1,1,4.0,4.0,4,4,,,,
baltimore-ravens,Baltimore Ravens,S,1,1,3.0,3.0,3,3,,,,
baltimore-ravens,Baltimore Ravens,TE,1,1,6.0,6.0,6,6,,,,
baltimore-ravens,Baltimore Ravens,WR,1,1,6.0,6.0,6,6,,,,
buffalo-bills,Buffalo Bills,CB,5,3,2.6,2.0,2,5,,,,
buffalo-bills,Buffalo Bills,DL,5,4,2.2,2.0,1,5,,,,
buffalo-bills,Buffalo Bills,WR,4,3,3.0,3.0,2,4,,,,
buffalo-bills,Buffalo Bills,EDGE,3,2,2.3333333333333335,2.0,2,3,,,,
buffalo-bills,Buffalo Bills,S,3,2,3.6666666666666665,4.0,3,4,,,,
buffalo-bills,Buffalo Bills,LB,2,2,5.5,5.5,5,6,,,,
buffalo-bills,Buffalo Bills,P,2,2,6.0,6.0,6,6,,,,
buffalo-bills,Buffalo Bills,RB,2,1,5.5,5.5,5,6,,,,
buffalo-bills,Buffalo Bills,TE,2,2,6.0,6.0,6,6,,,,
buffalo-bills,Buffalo Bills,IOL,1,1,4.0,4.0,4,4,,,,
buffalo-bills,Buffalo Bills,OT,1,1,5.0,5.0,5,5,,,,
carolina-panthers,Carolina Panthers,EDGE,7,5,3.4285714285714284,3.0,1,7,,,,
carolina-panthers,Carolina Panthers,WR,4,4,2.25,2.5,1,3,,,,
carolina-panthers,Carolina Panthers,CB,3,3,4.0,4.0,3,5,,,,
carolina-panthers,Carolina Panthers,LB,3,3,4.0,4.0,3,5,,,,
carolina-panthers,Carolina Panthers,S,3,3,2.6666666666666665,3.0,2,3,,,,
carolina-panthers,Carolina Panthers,DL,2,2,2.0,2.0,1,3,,,,
carolina-panthers,Carolina Panthers,OT,2,2,4.0,4.0,3,5,,,,
carolina-panthers,Carolina Panthers,RB,2,2,5.0,5.0,5,5,,,,
carolina-panthers,Carolina Panthers,TE,2,2,4.5,4.5,4,5,,,,
carolina-panthers,Carolina Panthers,IOL,1,1,5.0,5.0,5,5,,,,
carolina-panthers,Carolina Panthers,K,1,1,7.0,7.0,7,7,,,,
chicago-bears,Chicago Bears,DL,8,7,3.75,3.0,2,7,,,,
chicago-bears,Chicago Bears,EDGE,8,8,2.75,2.0,1,5,,,,
chicago-bears,Chicago Bears,S,8,7,4.625,4.0,2,7,,,,
chicago-bears,Chicago Bears,RB,7,4,1.7142857142857142,2.0,1,2,,,,
chicago-bears,Chicago Bears,OT,6,5,2.0,1.5,1,5,,,,
chicago-bears,Chicago Bears,TE,6,3,2.5,3.0,1,4,,,,
chicago-bears,Chicago Bears,WR,6,5,6.666666666666667,7.0,5,7,,,,
chicago-bears,Chicago Bears,LB,5,5,5.4,5.0,3,7,,,,
chicago-bears,Chicago Bears,IOL,4,4,4.75,5.0,2,7,,,,
chicago-bears,Chicago Bears,CB,1,1,7.0,7.0,7,7,,,,
cincinnati-bengals,Cincinnati Bengals,IOL,7,6,3.5714285714285716,3.0,3,5,,,,
cincinnati-bengals,Cincinnati Bengals,S,6,5,3.1666666666666665,2.0,1,6,,,,
cincinnati-bengals,Cincinnati Bengals,DL,5,4,2.2,2.0,1,4,,,,
cincinnati-bengals,Cincinnati Bengals,EDGE,5,5,2.2,1.0,1,5,,,,
cincinnati-bengals,Cincinnati Bengals,LB,3,2,4.666666666666667,5.0,4,5,,,,
cincinnati-bengals,Cincinnati Bengals,CB,2,2,4.0,4.0,2,6,,,,
cincinnati-bengals,Cincinnati Bengals,OT,2,2,4.5,4.5,3,6,,,,
cincinnati-bengals,Cincinnati Bengals,RB,2,2,3.5,3.5,2,5,,,,
