team_slug,team_name,player_name,player_position,mock_count,unique_mocks,unique_authors,avg_round,median_round,min_round,max_round,avg_pick,median_pick,min_pick,max_pick,team_mock_count,share_of_team_picks
arizona-cardinals,Arizona Cardinals,Francis Mauigoa,OT,67,67,65,1.0,1.0,1,1,3.8059701492537314,3.0,3,12,246,0.27235772357723576
arizona-cardinals,Arizona Cardinals,David Bailey,EDGE,54,52,52,1.0,1.0,1,1,3.074074074074074,3.0,3,7,246,0.21951219512195122
arizona-cardinals,Arizona Cardinals,Arvell Reese,LB,33,33,32,1.0,1.0,1,1,3.0,3.0,3,3,246,0.13414634146341464
arizona-cardinals,Arizona Cardinals,Ty Simpson,QB,29,29,29,1.0,1.0,1,1,24.310344827586206,26.0,3,32,246,0.11788617886178862
arizona-cardinals,Arizona Cardinals,Rueben Bain,EDGE,10,10,10,1.0,1.0,1,1,3.4,3.0,3,7,246,0.04065040650406504
arizona-cardinals,Arizona Cardinals,Spencer Fano,OT,10,10,10,1.0,1.0,1,1,9.2,9.5,3,20,246,0.04065040650406504
arizona-cardinals,Arizona Cardinals,Sonny Styles,LB,8,8,7,1.0,1.0,1,1,3.0,3.0,3,3,246,0.032520325203252036
arizona-cardinals,Arizona Cardinals,Monroe Freeling,OT,5,5,5,1.0,1.0,1,1,9.8,12.0,5,12,246,0.02032520325203252
arizona-cardinals,Arizona Cardinals,Jeremiyah Love,RB,4,4,4,1.0,1.0,1,1,3.75,3.0,3,6,246,0.016260162601626018
arizona-cardinals,Arizona Cardinals,Kadyn Proctor,OT,3,3,3,1.0,1.0,1,1,17.666666666666668,12.0,12,29,246,0.012195121951219513
arizona-cardinals,Arizona Cardinals,Keldric Faulk,EDGE,3,3,3,1.0,1.0,1,1,20.0,20.0,20,20,246,0.012195121951219513
arizona-cardinals,Arizona Cardinals,Carnell Tate,WR,2,2,2,1.0,1.0,1,1,3.0,3.0,3,3,246,0.008130081300813009
arizona-cardinals,Arizona Cardinals,Ja'Kobi Lane,WR,2,1,1,4.0,4.0,4,4,104.0,104.0,104,104,246,0.008130081300813009
arizona-cardinals,Arizona Cardinals,T.J. Parker,EDGE,1,1,1,1.0,1.0,1,1,3.0,3.0,3,3,246,0.0040650406504065045
arizona-cardinals,Arizona Cardinals,Colton Hood,CB,1,1,1,1.0,1.0,1,1,20.0,20.0,20,20,246,0.0040650406504065045
arizona-cardinals,Arizona Cardinals,Jermod McCoy,CB,1,1,1,1.0,1.0,1,1,20.0,20.0,20,20,246,0.0040650406504065045
arizona-cardinals,Arizona Cardinals,Max Iheanachor,OT,1,1,1,1.0,1.0,1,1,26.0,26.0,26,26,246,0.0040650406504065045
arizona-cardinals,Arizona Cardinals,Drew Allar,QB,1,1,1,1.0,1.0,1,1,28.0,28.0,28,28,246,0.0040650406504065045
arizona-cardinals,Arizona Cardinals,Cashius Howell,EDGE,1,1,1,1.0,1.0,1,1,29.0,29.0,29,29,246,0.0040650406504065045
arizona-cardinals,Arizona Cardinals,C.J. Allen,LB,1,1,1,2.0,2.0,2,2,34.0,34.0,34,34,246,0.0040650406504065045
arizona-cardinals,Arizona Cardinals,Zion Young,EDGE,1,1,1,2.0,2.0,2,2,34.0,34.0,34,34,246,0.0040650406504065045
arizona-cardinals,Arizona Cardinals,Caleb Tiernan,OT,1,1,1,3.0,3.0,3,3,65.0,65.0,65,65,246,0.0040650406504065045
arizona-cardinals,Arizona Cardinals,Domonique Orange,DL,1,1,1,3.0,3.0,3,3,65.0,65.0,65,65,246,0.0040650406504065045
arizona-cardinals,Arizona Cardinals,Emmett Johnson,RB,1,1,1,5.0,5.0,5,5,143.0,143.0,143,143,246,0.0040650406504065045
arizona-cardinals,Arizona Cardinals,Keyshaun Elliott,LB,1,1,1,5.0,5.0,5,5,143.0,143.0,143,143,246,0.0040650406504065045
arizona-cardinals,Arizona Cardinals,C.J. Daniels,WR,1,1,1,6.0,6.0,6,6,183.0,183.0,183,183,246,0.0040650406504065045
arizona-cardinals,Arizona Cardinals,Justin Jefferson,LB,1,1,1,6.0,6.0,6,6,183.0,183.0,183,183,246,0.0040650406504065045
arizona-cardinals,Arizona Cardinals,Eric Rivers,WR,1,1,1,7.0,7.0,7,7,217.0,217.0,217,217,246,0.0040650406504065045
arizona-cardinals,Arizona Cardinals,Sawyer Robertson,QB,1,1,1,7.0,7.0,7,7,217.0,217.0,217,217,246,0.0040650406504065045
atlanta-falcons,Atlanta Falcons,Blake Miller,OT,1,1,1,1.0,1.0,1,1,32.0,32.0,32,32,11,0.09090909090909091
atlanta-falcons,Atlanta Falcons,Anthony Hill Jr.,LB,1,1,1,2.0,2.0,2,2,48.0,48.0,48,48,11,0.09090909090909091
atlanta-falcons,Atlanta Falcons,Christen Miller,DL,1,1,1,2.0,2.0,2,2,48.0,48.0,48,48,11,0.09090909090909091
atlanta-falcons,Atlanta Falcons,Skyler Bell,WR,1,1,1,3.0,3.0,3,3,79.0,79.0,79,79,11,0.09090909090909091
atlanta-falcons,Atlanta Falcons,Ted Hurst,WR,1,1,1,3.0,3.0,3,3,79.0,79.0,79,79,11,0.09090909090909091
atlanta-falcons,Atlanta Falcons,Billy Schrauth,IOL,1,1,1,4.0,4.0,4,4,122.0,122.0,122,122,11,0.09090909090909091
atlanta-falcons,Atlanta Falcons,Harold Perkins,LB,1,1,1,4.0,4.0,4,4,122.0,122.0,122,122,11,0.09090909090909091
atlanta-falcons,Atlanta Falcons,John Michael Gyllenborg,TE,1,1,1,6.0,6.0,6,6,215.0,215.0,215,215,11,0.09090909090909091
atlanta-falcons,Atlanta Falcons,Micah Morris,IOL,1,1,1,6.0,6.0,6,6,215.0,215.0,215,215,11,0.09090909090909091
atlanta-falcons,Atlanta Falcons,Bryson Eason,DL,1,1,1,7.0,7.0,7,7,231.0,231.0,231,231,11,0.09090909090909091
atlanta-falcons,Atlanta Falcons,Domani Jackson,CB,1,1,1,7.0,7.0,7,7,231.0,231.0,231,231,11,0.09090909090909091
baltimore-ravens,Baltimore Ravens,Olaivavega Ioane,IOL,89,87,85,1.0,1.0,1,1,14.07865168539326,14.0,13,19,209,0.4258373205741627
baltimore-ravens,Baltimore Ravens,Jordyn Tyson,WR,21,20,20,1.0,1.0,1,1,14.238095238095237,14.0,14,19,209,0.10047846889952153
baltimore-ravens,Baltimore Ravens,Kenyon Sadiq,TE,19,19,19,1.0,1.0,1,1,14.210526315789474,14.0,14,18,209,0.09090909090909091
baltimore-ravens,Baltimore Ravens,Spencer Fano,OT,19,19,19,1.0,1.0,1,1,14.0,14.0,14,14,209,0.09090909090909091
baltimore-ravens,Baltimore Ravens,Makai Lemon,WR,7,7,7,1.0,1.0,1,1,14.0,14.0,14,14,209,0.03349282296650718
baltimore-ravens,Baltimore Ravens,Rueben Bain,EDGE,7,7,7,1.0,1.0,1,1,12.285714285714286,14.0,2,14,209,0.03349282296650718
baltimore-ravens,Baltimore Ravens,Jermod McCoy,CB,6,6,6,1.0,1.0,1,1,14.0,14.0,14,14,209,0.028708133971291867
baltimore-ravens,Baltimore Ravens,Carnell Tate,WR,4,4,4,1.0,1.0,1,1,12.25,14.0,7,14,209,0.019138755980861243
baltimore-ravens,Baltimore Ravens,Francis Mauigoa,OT,3,3,3,1.0,1.0,1,1,14.0,14.0,14,14,209,0.014354066985645933
baltimore-ravens,Baltimore Ravens,Monroe Freeling,OT,3,3,3,1.0,1.0,1,1,14.0,14.0,14,14,209,0.014354066985645933
baltimore-ravens,Baltimore Ravens,Jeremiyah Love,RB,2,2,2,1.0,1.0,1,1,14.0,14.0,14,14,209,0.009569377990430622
baltimore-ravens,Baltimore Ravens,Peter Woods,DL,2,2,2,1.0,1.0,1,1,14.0,14.0,14,14,209,0.009569377990430622
baltimore-ravens,Baltimore Ravens,Kevin Coleman Jr.,WR,2,1,1,5.0,5.0,5,5,164.0,164.0,154,174,209,0.009569377990430622
baltimore-ravens,Baltimore Ravens,Jeremiah Wright,IOL,2,1,1,5.0,5.0,5,5,167.5,167.5,162,173,209,0.009569377990430622
baltimore-ravens,Baltimore Ravens,Cashius Howell,EDGE,1,1,1,1.0,1.0,1,1,14.0,14.0,14,14,209,0.004784688995215311
baltimore-ravens,Baltimore Ravens,Connor Lew,IOL,1,1,1,1.0,1.0,1,1,14.0,14.0,14,14,209,0.004784688995215311
baltimore-ravens,Baltimore Ravens,David Bailey,EDGE,1,1,1,1.0,1.0,1,1,14.0,14.0,14,14,209,0.004784688995215311
baltimore-ravens,Baltimore Ravens,Keldric Faulk,EDGE,1,1,1,1.0,1.0,1,1,14.0,14.0,14,14,209,0.004784688995215311
baltimore-ravens,Baltimore Ravens,Mansoor Delane,CB,1,1,1,1.0,1.0,1,1,14.0,14.0,14,14,209,0.004784688995215311
baltimore-ravens,Baltimore Ravens,Omar Cooper Jr.,WR,1,1,1,1.0,1.0,1,1,14.0,14.0,14,14,209,0.004784688995215311
baltimore-ravens,Baltimore Ravens,Max Iheanachor,OT,1,1,1,1.0,1.0,1,1,18.0,18.0,18,18,209,0.004784688995215311
baltimore-ravens,Baltimore Ravens,Chase Bisontis,IOL,1,1,1,2.0,2.0,2,2,45.0,45.0,45,45,209,0.004784688995215311
baltimore-ravens,Baltimore Ravens,Emmanuel Pregnon,IOL,1,1,1,2.0,2.0,2,2,45.0,45.0,45,45,209,0.004784688995215311
baltimore-ravens,Baltimore Ravens,Joshua Josephs,EDGE,1,1,1,3.0,3.0,3,3,80.0,80.0,80,80,209,0.004784688995215311
baltimore-ravens,Baltimore Ravens,Romello Height,EDGE,1,1,1,3.0,3.0,3,3,80.0,80.0,80,80,209,0.004784688995215311
baltimore-ravens,Baltimore Ravens,Jalen Farmer,IOL,1,1,1,4.0,4.0,4,4,115.0,115.0,115,115,209,0.004784688995215311
baltimore-ravens,Baltimore Ravens,Will Lee III,CB,1,1,1,4.0,4.0,4,4,115.0,115.0,115,115,209,0.004784688995215311
baltimore-ravens,Baltimore Ravens,Jack Endries,TE,1,1,1,5.0,5.0,5,5,154.0,154.0,154,154,209,0.004784688995215311
baltimore-ravens,Baltimore Ravens,Landon Robinson,DL,1,1,1,5.0,5.0,5,5,162.0,162.0,162,162,209,0.004784688995215311
baltimore-ravens,Baltimore Ravens,Kaelon Black,RB,1,1,1,5.0,5.0,5,5,173.0,173.0,173,173,209,0.004784688995215311
baltimore-ravens,Baltimore Ravens,Matthew Hibner,TE,1,1,1,5.0,5.0,5,5,174.0,174.0,174,174,209,0.004784688995215311
baltimore-ravens,Baltimore Ravens,Aamil Wagner,OT,1,1,1,6.0,6.0,6,6,211.0,211.0,211,211,209,0.004784688995215311
baltimore-ravens,Baltimore Ravens,Marlin Klein,TE,1,1,1,6.0,6.0,6,6,211.0,211.0,211,211,209,0.004784688995215311
baltimore-ravens,Baltimore Ravens,Adam Randall,RB,1,1,1,7.0,7.0,7,7,250.0,250.0,250,250,209,0.004784688995215311
baltimore-ravens,Baltimore Ravens,Brett Thorson,P,1,1,1,7.0,7.0,7,7,250.0,250.0,250,250,209,0.004784688995215311
baltimore-ravens,Baltimore Ravens,Barion Brown,WR,1,1,1,7.0,7.0,7,7,253.0,253.0,253,253,209,0.004784688995215311
baltimore-ravens,Baltimore Ravens,Micah Morris,IOL,1,1,1,7.0,7.0,7,7,253.0,253.0,253,253,209,0.004784688995215311
buffalo-bills,Buffalo Bills,C.J. Allen,LB,23,23,23,1.0,1.0,1,1,26.17391304347826,26.0,26,30,190,0.12105263157894737
buffalo-bills,Buffalo Bills,Cashius Howell,EDGE,19,18,18,1.0,1.0,1,1,26.157894736842106,26.0,26,29,190,0.1
buffalo-bills,Buffalo Bills,Akheem Mesidor,EDGE,12,12,12,1.0,1.0,1,1,25.75,26.0,23,26,190,0.06315789473684211
buffalo-bills,Buffalo Bills,Keldric Faulk,EDGE,12,12,12,1.0,1.0,1,1,25.916666666666668,26.0,25,26,190,0.06315789473684211
buffalo-bills,Buffalo Bills,Kevin Concepcion,WR,12,12,12,1.0,1.0,1,1,25.916666666666668,26.0,25,26,190,0.06315789473684211
buffalo-bills,Buffalo Bills,Emmanuel McNeil-Warren,S,11,11,10,1.0,1.0,1,1,26.0,26.0,26,26,190,0.05789473684210526
