team_slug,team_name,player_name,player_position,weighted_mock_score,raw_mock_count,unique_mocks,unique_authors,avg_pick,median_pick,min_pick,max_pick,avg_author_weight,team_specific_weight_uses,weighted_team_total,raw_team_total,weighted_share_of_team_picks
arizona-cardinals,Arizona Cardinals,David Bailey,EDGE,29.05955934612651,74,68,68,3.108108108108108,3.0,3,7,0.3926967479206285,40,127.84433191186923,311,0.22730424502635757
arizona-cardinals,Arizona Cardinals,Francis Mauigoa,OT,27.026693911395405,67,66,64,4.044776119402985,3.0,3,12,0.4033834912148568,42,127.84433191186923,311,0.21140314558510523
arizona-cardinals,Arizona Cardinals,Arvell Reese,LB,22.204832977967307,52,50,49,3.0,3.0,3,3,0.4270160188070636,43,127.84433191186923,311,0.17368648766747383
arizona-cardinals,Arizona Cardinals,Ty Simpson,QB,20.676190476190477,49,47,47,26.244897959183675,28.0,3,32,0.4219630709426628,35,127.84433191186923,311,0.1617294264593898
arizona-cardinals,Arizona Cardinals,Jeremiyah Love,RB,5.757936507936508,12,11,11,3.25,3.0,3,6,0.4798280423280423,10,127.84433191186923,311,0.04503865303864859
arizona-cardinals,Arizona Cardinals,Spencer Fano,OT,5.0,12,12,12,9.0,9.0,3,20,0.4166666666666667,8,127.84433191186923,311,0.03911006397567004
arizona-cardinals,Arizona Cardinals,Sonny Styles,LB,4.402452025586354,10,10,9,3.0,3.0,3,3,0.44024520255863536,6,127.84433191186923,311,0.03443603607410008
arizona-cardinals,Arizona Cardinals,Rueben Bain,EDGE,3.6968253968253966,10,10,10,3.9,3.0,3,12,0.36968253968253967,8,127.84433191186923,311,0.028916615555344607
arizona-cardinals,Arizona Cardinals,Monroe Freeling,OT,2.3333333333333335,7,7,7,11.0,12.0,8,12,0.33333333333333337,4,127.84433191186923,311,0.01825136318864602
arizona-cardinals,Arizona Cardinals,Kadyn Proctor,OT,1.6666666666666667,4,4,4,18.25,16.0,12,29,0.4166666666666667,2,127.84433191186923,311,0.013036687991890013
arizona-cardinals,Arizona Cardinals,Carnell Tate,WR,1.0,2,2,2,3.0,3.0,3,3,0.5,2,127.84433191186923,311,0.007822012795134007
arizona-cardinals,Arizona Cardinals,Keldric Faulk,EDGE,0.9166666666666666,3,3,3,20.0,20.0,20,20,0.3055555555555555,3,127.84433191186923,311,0.007170178395539506
arizona-cardinals,Arizona Cardinals,Max Iheanachor,OT,0.7142857142857143,1,1,1,26.0,26.0,26,26,0.7142857142857143,1,127.84433191186923,311,0.005587151996524291
arizona-cardinals,Arizona Cardinals,Drew Allar,QB,0.6666666666666667,1,1,1,28.0,28.0,28,28,0.6666666666666667,1,127.84433191186923,311,0.005214675196756005
arizona-cardinals,Arizona Cardinals,Colton Hood,CB,0.5333333333333333,1,1,1,20.0,20.0,20,20,0.5333333333333333,1,127.84433191186923,311,0.004171740157404804
arizona-cardinals,Arizona Cardinals,Caleb Lomu,OT,0.4666666666666666,1,1,1,20.0,20.0,20,20,0.4666666666666666,1,127.84433191186923,311,0.0036502726377292028
arizona-cardinals,Arizona Cardinals,Olaivavega Ioane,IOL,0.4444444444444444,1,1,1,12.0,12.0,12,12,0.4444444444444444,1,127.84433191186923,311,0.0034764501311706697
arizona-cardinals,Arizona Cardinals,T.J. Parker,EDGE,0.3333333333333333,1,1,1,3.0,3.0,3,3,0.3333333333333333,0,127.84433191186923,311,0.002607337598378002
arizona-cardinals,Arizona Cardinals,Jermod McCoy,CB,0.3333333333333333,1,1,1,20.0,20.0,20,20,0.3333333333333333,0,127.84433191186923,311,0.002607337598378002
arizona-cardinals,Arizona Cardinals,Cashius Howell,EDGE,0.3333333333333333,1,1,1,29.0,29.0,29,29,0.3333333333333333,0,127.84433191186923,311,0.002607337598378002
arizona-cardinals,Arizona Cardinals,Zion Young,EDGE,0.2777777777777778,1,1,1,24.0,24.0,24,24,0.2777777777777778,1,127.84433191186923,311,0.0021727813319816686
atlanta-falcons,Atlanta Falcons,Blake Miller,OT,0.41666666666666663,1,1,1,32.0,32.0,32,32,0.41666666666666663,1,0.41666666666666663,1,1.0
baltimore-ravens,Baltimore Ravens,Olaivavega Ioane,IOL,34.06504778746158,109,103,101,14.119266055045872,14.0,14,19,0.31252337419689524,77,79.73342385583766,237,0.42723673636608195
baltimore-ravens,Baltimore Ravens,Kenyon Sadiq,TE,11.049206349206349,30,29,29,14.133333333333333,14.0,14,18,0.3683068783068783,22,79.73342385583766,237,0.1385768453789707
baltimore-ravens,Baltimore Ravens,Jordyn Tyson,WR,8.084920634920636,23,22,22,14.217391304347826,14.0,14,19,0.35151828847481026,18,79.73342385583766,237,0.10139939117049093
baltimore-ravens,Baltimore Ravens,Spencer Fano,OT,7.657142857142857,21,21,21,14.0,14.0,14,14,0.364625850340136,11,79.73342385583766,237,0.09603429135298874
baltimore-ravens,Baltimore Ravens,Rueben Bain,EDGE,3.0911680911680914,8,8,8,12.5,14.0,2,14,0.38639601139601143,6,79.73342385583766,237,0.038768786560038994
baltimore-ravens,Baltimore Ravens,Makai Lemon,WR,2.3333333333333335,6,6,6,14.0,14.0,14,14,0.3888888888888889,3,79.73342385583766,237,0.02926418082273911
baltimore-ravens,Baltimore Ravens,Jermod McCoy,CB,2.3095238095238093,7,7,7,14.0,14.0,14,14,0.3299319727891156,2,79.73342385583766,237,0.028965566732711157
baltimore-ravens,Baltimore Ravens,Kadyn Proctor,OT,1.5611111111111111,3,3,3,14.0,14.0,14,14,0.5203703703703704,2,79.73342385583766,237,0.019579130502832595
baltimore-ravens,Baltimore Ravens,Carnell Tate,WR,1.3967236467236468,4,4,4,12.25,14.0,7,14,0.3491809116809117,4,79.73342385583766,237,0.017517417153049875
baltimore-ravens,Baltimore Ravens,Monroe Freeling,OT,1.3148148148148147,4,4,4,14.0,14.0,14,14,0.32870370370370366,2,79.73342385583766,237,0.01649013363821013
baltimore-ravens,Baltimore Ravens,Francis Mauigoa,OT,1.0357142857142856,3,3,3,14.0,14.0,14,14,0.3452380952380952,2,79.73342385583766,237,0.012989712916215828
baltimore-ravens,Baltimore Ravens,Denzel Boston,WR,1.0,4,4,4,18.0,14.0,14,30,0.25,1,79.73342385583766,237,0.012541791781173903
baltimore-ravens,Baltimore Ravens,Peter Woods,DL,0.98005698005698,3,3,3,14.0,14.0,14,14,0.32668566001899335,2,79.73342385583766,237,0.012291670577560749
baltimore-ravens,Baltimore Ravens,Caleb Banks,DL,0.6190476190476191,1,1,1,14.0,14.0,14,14,0.6190476190476191,1,79.73342385583766,237,0.007763966340726703
baltimore-ravens,Baltimore Ravens,Jeremiyah Love,RB,0.5356125356125356,2,2,2,14.0,14.0,14,14,0.2678062678062678,2,79.73342385583766,237,0.006717540897039014
baltimore-ravens,Baltimore Ravens,Keldric Faulk,EDGE,0.5,2,2,2,14.0,14.0,14,14,0.25,2,79.73342385583766,237,0.006270895890586952
baltimore-ravens,Baltimore Ravens,Caleb Downs,S,0.33333333333333337,1,1,1,14.0,14.0,14,14,0.33333333333333337,1,79.73342385583766,237,0.004180597260391302
baltimore-ravens,Baltimore Ravens,Cashius Howell,EDGE,0.33333333333333337,1,1,1,14.0,14.0,14,14,0.33333333333333337,1,79.73342385583766,237,0.004180597260391302
baltimore-ravens,Baltimore Ravens,Kayden McDonald,DL,0.33333333333333337,1,1,1,14.0,14.0,14,14,0.33333333333333337,1,79.73342385583766,237,0.004180597260391302
baltimore-ravens,Baltimore Ravens,Mansoor Delane,CB,0.3333333333333333,1,1,1,14.0,14.0,14,14,0.3333333333333333,0,79.73342385583766,237,0.004180597260391301
baltimore-ravens,Baltimore Ravens,Omar Cooper Jr.,WR,0.3333333333333333,1,1,1,14.0,14.0,14,14,0.3333333333333333,0,79.73342385583766,237,0.004180597260391301
baltimore-ravens,Baltimore Ravens,Max Iheanachor,OT,0.3333333333333333,1,1,1,18.0,18.0,18,18,0.3333333333333333,0,79.73342385583766,237,0.004180597260391301
baltimore-ravens,Baltimore Ravens,Connor Lew,IOL,0.2,1,1,1,14.0,14.0,14,14,0.2,1,79.73342385583766,237,0.002508358356234781
buffalo-bills,Buffalo Bills,C.J. Allen,LB,6.933333333333334,21,21,21,26.19047619047619,26.0,26,30,0.33015873015873015,11,58.97338483146068,222,0.11756715937448771
buffalo-bills,Buffalo Bills,Cashius Howell,EDGE,5.309987515605493,22,20,20,26.136363636363637,26.0,26,29,0.24136306889115877,16,58.97338483146068,222,0.0900404060370766
buffalo-bills,Buffalo Bills,Kayden McDonald,DL,5.09540418227216,19,18,18,26.0,26.0,26,26,0.26817916748800846,15,58.97338483146068,222,0.08640175897710899
buffalo-bills,Buffalo Bills,Malachi Lawrence,EDGE,4.8,15,15,15,26.0,26.0,26,26,0.32,11,58.97338483146068,222,0.08139264879772226
buffalo-bills,Buffalo Bills,Keldric Faulk,EDGE,4.487765293383271,16,14,14,26.0,26.0,26,26,0.28048533083645444,8,58.97338483146068,222,0.07609814675228158
