player_name,player_position,mock_count,unique_mocks,unique_authors,avg_round,median_round,min_round,max_round,avg_pick,median_pick,min_pick,max_pick,team_count,most_common_team,most_common_team_slug
Caleb Downs,S,7,7,7,1.0,1.0,1,1,,,,,4,Dallas Cowboys,dallas-cowboys
Bud Clark,S,6,6,6,3.6666666666666665,4.0,3,4,,,,,5,Dallas Cowboys,dallas-cowboys
Oscar Delp,TE,6,6,6,3.8333333333333335,3.0,3,6,,,,,5,New England Patriots,new-england-patriots
Malachi Lawrence,EDGE,5,5,5,1.4,1.0,1,2,,,,,4,Dallas Cowboys,dallas-cowboys
A.J. Haulcy,S,4,4,4,2.5,2.5,2,3,,,,,3,Miami Dolphins,miami-dolphins
Aiden Fisher,LB,4,4,4,4.75,4.5,4,6,,,,,3,Detroit Lions,detroit-lions
Chris McClellan,DL,4,4,4,4.25,4.0,4,5,,,,,3,Las Vegas Raiders,las-vegas-raiders
Ephesians Prysock,CB,4,4,4,5.0,5.0,5,5,,,,,4,Green Bay Packers,green-bay-packers
George Gumbs Jr.,EDGE,4,4,4,6.0,6.0,6,6,,,,,4,Detroit Lions,detroit-lions
Malik Muhammad,CB,4,4,4,3.25,3.0,3,4,,,,,3,Dallas Cowboys,dallas-cowboys
Max Iheanachor,OT,4,4,4,2.0,2.0,1,3,,,,,3,Arizona Cardinals,arizona-cardinals
Micah Morris,IOL,4,4,4,6.0,6.0,5,7,,,,,3,New England Patriots,new-england-patriots
Adam Randall,RB,3,3,3,5.333333333333333,5.0,5,6,,,,,2,New England Patriots,new-england-patriots
Akheem Mesidor,EDGE,3,3,3,1.3333333333333333,1.0,1,2,,,,,3,Detroit Lions,detroit-lions
Anthony Hill Jr.,LB,3,3,3,2.6666666666666665,3.0,2,3,,,,,2,Chicago Bears,chicago-bears
Beau Stephens,IOL,3,3,3,4.666666666666667,4.0,4,6,,,,,3,Chicago Bears,chicago-bears
Blake Miller,OT,3,3,3,1.0,1.0,1,1,,,,,3,Detroit Lions,detroit-lions
Brian Parker II,OT,3,3,3,4.0,4.0,4,4,,,,,3,Green Bay Packers,green-bay-packers
C.J. Allen,LB,3,3,3,1.3333333333333333,1.0,1,2,,,,,2,Dallas Cowboys,dallas-cowboys
Caden Curry,EDGE,3,3,3,5.0,5.0,5,5,,,,,3,Kansas City Chiefs,kansas-city-chiefs
Caleb Banks,DL,3,3,3,2.6666666666666665,3.0,2,3,,,,,3,Detroit Lions,detroit-lions
Christen Miller,DL,3,3,3,1.6666666666666667,2.0,1,2,,,,,3,Atlanta Falcons,atlanta-falcons
Cole Payton,QB,3,3,3,5.666666666666667,5.0,5,7,,,,,3,Cleveland Browns,cleveland-browns
Dani Dennis-Sutton,EDGE,3,3,3,2.6666666666666665,3.0,2,3,,,,,2,Chicago Bears,chicago-bears
Devon Marshall,CB,3,3,3,5.333333333333333,5.0,5,6,,,,,3,Arizona Cardinals,arizona-cardinals
Dontay Corleone,DL,3,3,3,4.0,4.0,3,5,,,,,3,Green Bay Packers,green-bay-packers
Eli Heidenreich,WR,3,3,3,6.0,6.0,5,7,,,,,3,Chicago Bears,chicago-bears
Gabe Jacas,EDGE,3,3,3,2.0,2.0,2,2,,,,,3,Detroit Lions,detroit-lions
Jack Kelly,LB,3,3,3,6.666666666666667,7.0,6,7,,,,,3,Dallas Cowboys,dallas-cowboys
Jaishawn Barham,LB,3,3,3,3.3333333333333335,4.0,2,4,,,,,3,Dallas Cowboys,dallas-cowboys
Jermod McCoy,CB,3,3,2,1.0,1.0,1,1,,,,,3,Baltimore Ravens,baltimore-ravens
Kaleb Elarms-Orr,LB,3,3,3,4.0,3.0,3,6,,,,,2,Dallas Cowboys,dallas-cowboys
Kaleb Proctor,DL,3,3,3,5.0,5.0,4,6,,,,,3,Detroit Lions,detroit-lions
Kayden McDonald,DL,3,3,3,1.6666666666666667,2.0,1,2,,,,,3,Chicago Bears,chicago-bears
Kaytron Allen,RB,3,3,3,4.333333333333333,4.0,4,5,,,,,3,Detroit Lions,detroit-lions
Logan Jones,IOL,3,3,3,3.0,3.0,3,3,,,,,3,Chicago Bears,chicago-bears
Max Bredeson,RB,3,3,3,6.333333333333333,7.0,5,7,,,,,3,Detroit Lions,detroit-lions
Nick Barrett,DL,3,3,3,5.666666666666667,6.0,5,6,,,,,3,Dallas Cowboys,dallas-cowboys
Noah Whittington,RB,3,3,3,7.0,7.0,7,7,,,,,3,Chicago Bears,chicago-bears
Olaivavega Ioane,IOL,3,3,3,1.0,1.0,1,1,,,,,2,Pittsburgh Steelers,pittsburgh-steelers
Pat Coogan,IOL,3,3,3,5.666666666666667,5.0,5,7,,,,,3,Detroit Lions,detroit-lions
T.J. Parker,EDGE,3,3,3,1.0,1.0,1,1,,,,,3,Kansas City Chiefs,kansas-city-chiefs
TJ Hall,CB,3,3,3,6.333333333333333,6.0,6,7,,,,,2,New England Patriots,new-england-patriots
Ted Hurst,WR,3,3,3,3.0,3.0,3,3,,,,,3,Baltimore Ravens,baltimore-ravens
Travis Burke,OT,3,3,3,5.333333333333333,6.0,4,6,,,,,3,Kansas City Chiefs,kansas-city-chiefs
Trey Zuhn III,OT,3,3,3,5.333333333333333,6.0,4,6,,,,,3,Arizona Cardinals,arizona-cardinals
Treydan Stukes,CB,3,3,3,2.0,2.0,2,2,,,,,3,Chicago Bears,chicago-bears
Austin Barber,OT,2,2,2,5.0,5.0,5,5,,,,,2,Kansas City Chiefs,kansas-city-chiefs
Bryce Boettcher,LB,2,2,2,4.0,4.0,4,4,,,,,2,Detroit Lions,detroit-lions
