team_slug,team_name,player_name,player_position,mock_count,unique_mocks,unique_authors,avg_round,median_round,min_round,max_round,avg_pick,median_pick,min_pick,max_pick,team_mock_count,share_of_team_picks
arizona-cardinals,Arizona Cardinals,Max Iheanachor,OT,2,2,2,2.0,2.0,2,2,,,,,15,0.13333333333333333
arizona-cardinals,Arizona Cardinals,Rueben Bain,EDGE,2,2,2,1.0,1.0,1,1,,,,,15,0.13333333333333333
arizona-cardinals,Arizona Cardinals,Aiden Fisher,LB,1,1,1,4.0,4.0,4,4,,,,,15,0.06666666666666667
arizona-cardinals,Arizona Cardinals,Darrell Jackson Jr.,DL,1,1,1,4.0,4.0,4,4,,,,,15,0.06666666666666667
arizona-cardinals,Arizona Cardinals,Derrick Moore,EDGE,1,1,1,4.0,4.0,4,4,,,,,15,0.06666666666666667
arizona-cardinals,Arizona Cardinals,Devon Marshall,CB,1,1,1,5.0,5.0,5,5,,,,,15,0.06666666666666667
arizona-cardinals,Arizona Cardinals,Eric Gentry,LB,1,1,1,7.0,7.0,7,7,,,,,15,0.06666666666666667
arizona-cardinals,Arizona Cardinals,Garrett Nussmeier,QB,1,1,1,5.0,5.0,5,5,,,,,15,0.06666666666666667
arizona-cardinals,Arizona Cardinals,Ja'Kobi Lane,WR,1,1,1,3.0,3.0,3,3,,,,,15,0.06666666666666667
arizona-cardinals,Arizona Cardinals,Lee Hunter,DL,1,1,1,3.0,3.0,3,3,,,,,15,0.06666666666666667
arizona-cardinals,Arizona Cardinals,Roman Hemby,RB,1,1,1,6.0,6.0,6,6,,,,,15,0.06666666666666667
arizona-cardinals,Arizona Cardinals,Trey Zuhn III,OT,1,1,1,6.0,6.0,6,6,,,,,15,0.06666666666666667
arizona-cardinals,Arizona Cardinals,Tyreak Sapp,EDGE,1,1,1,7.0,7.0,7,7,,,,,15,0.06666666666666667
atlanta-falcons,Atlanta Falcons,Christen Miller,DL,1,1,1,2.0,2.0,2,2,,,,,5,0.2
atlanta-falcons,Atlanta Falcons,Devin Moore,CB,1,1,1,3.0,3.0,3,3,,,,,5,0.2
atlanta-falcons,Atlanta Falcons,Ja'Kobi Lane,WR,1,1,1,4.0,4.0,4,4,,,,,5,0.2
atlanta-falcons,Atlanta Falcons,Micah Morris,IOL,1,1,1,7.0,7.0,7,7,,,,,5,0.2
atlanta-falcons,Atlanta Falcons,Oscar Delp,TE,1,1,1,6.0,6.0,6,6,,,,,5,0.2
baltimore-ravens,Baltimore Ravens,Emmanuel Pregnon,IOL,1,1,1,2.0,2.0,2,2,,,,,4,0.25
baltimore-ravens,Baltimore Ravens,Jake Slaughter,IOL,1,1,1,4.0,4.0,4,4,,,,,4,0.25
baltimore-ravens,Baltimore Ravens,Jermod McCoy,CB,1,1,1,1.0,1.0,1,1,,,,,4,0.25
baltimore-ravens,Baltimore Ravens,Ted Hurst,WR,1,1,1,3.0,3.0,3,3,,,,,4,0.25
chicago-bears,Chicago Bears,Anthony Hill Jr.,LB,2,2,2,2.5,2.5,2,3,,,,,20,0.1
chicago-bears,Chicago Bears,Dani Dennis-Sutton,EDGE,2,2,2,2.5,2.5,2,3,,,,,20,0.1
chicago-bears,Chicago Bears,A.J. Haulcy,S,1,1,1,2.0,2.0,2,2,,,,,20,0.05
chicago-bears,Chicago Bears,Beau Stephens,IOL,1,1,1,4.0,4.0,4,4,,,,,20,0.05
chicago-bears,Chicago Bears,Christen Miller,DL,1,1,1,1.0,1.0,1,1,,,,,20,0.05
chicago-bears,Chicago Bears,Eli Heidenreich,WR,1,1,1,7.0,7.0,7,7,,,,,20,0.05
chicago-bears,Chicago Bears,Emmanuel McNeil-Warren,S,1,1,1,1.0,1.0,1,1,,,,,20,0.05
chicago-bears,Chicago Bears,Gracen Halton,DL,1,1,1,2.0,2.0,2,2,,,,,20,0.05
chicago-bears,Chicago Bears,Jalon Kilgore,S,1,1,1,4.0,4.0,4,4,,,,,20,0.05
chicago-bears,Chicago Bears,Kayden McDonald,DL,1,1,1,1.0,1.0,1,1,,,,,20,0.05
chicago-bears,Chicago Bears,Landon Robinson,DL,1,1,1,4.0,4.0,4,4,,,,,20,0.05
chicago-bears,Chicago Bears,Logan Jones,IOL,1,1,1,3.0,3.0,3,3,,,,,20,0.05
chicago-bears,Chicago Bears,Malachi Lawrence,EDGE,1,1,1,2.0,2.0,2,2,,,,,20,0.05
chicago-bears,Chicago Bears,Michael Heldman,EDGE,1,1,1,7.0,7.0,7,7,,,,,20,0.05
chicago-bears,Chicago Bears,Noah Whittington,RB,1,1,1,7.0,7.0,7,7,,,,,20,0.05
chicago-bears,Chicago Bears,Sam Hecht,IOL,1,1,1,3.0,3.0,3,3,,,,,20,0.05
chicago-bears,Chicago Bears,Treydan Stukes,CB,1,1,1,2.0,2.0,2,2,,,,,20,0.05
chicago-bears,Chicago Bears,Zavion Thomas,WR,1,1,1,7.0,7.0,7,7,,,,,20,0.05
cleveland-browns,Cleveland Browns,Cole Payton,QB,1,1,1,5.0,5.0,5,5,,,,,10,0.1
cleveland-browns,Cleveland Browns,D'angelo Ponds,CB,1,1,1,2.0,2.0,2,2,,,,,10,0.1
cleveland-browns,Cleveland Browns,Dametrious Crownover,OT,1,1,1,3.0,3.0,3,3,,,,,10,0.1
cleveland-browns,Cleveland Browns,Denzel Boston,WR,1,1,1,2.0,2.0,2,2,,,,,10,0.1
cleveland-browns,Cleveland Browns,Kenyon Sadiq,TE,1,1,1,1.0,1.0,1,1,,,,,10,0.1
cleveland-browns,Cleveland Browns,Kevin Concepcion,WR,1,1,1,1.0,1.0,1,1,,,,,10,0.1
cleveland-browns,Cleveland Browns,Malik Muhammad,CB,1,1,1,4.0,4.0,4,4,,,,,10,0.1
cleveland-browns,Cleveland Browns,Will Kacmarek,TE,1,1,1,7.0,7.0,7,7,,,,,10,0.1
cleveland-browns,Cleveland Browns,Wydett Williams Jr.,S,1,1,1,6.0,6.0,6,6,,,,,10,0.1
cleveland-browns,Cleveland Browns,Zane Durant,DL,1,1,1,5.0,5.0,5,5,,,,,10,0.1
dallas-cowboys,Dallas Cowboys,Bud Clark,S,2,2,2,3.5,3.5,3,4,,,,,26,0.07692307692307693
dallas-cowboys,Dallas Cowboys,C.J. Allen,LB,2,2,2,1.0,1.0,1,1,,,,,26,0.07692307692307693
dallas-cowboys,Dallas Cowboys,Caleb Downs,S,2,2,2,1.0,1.0,1,1,,,,,26,0.07692307692307693
dallas-cowboys,Dallas Cowboys,Kaleb Elarms-Orr,LB,2,2,2,3.0,3.0,3,3,,,,,26,0.07692307692307693
dallas-cowboys,Dallas Cowboys,Malachi Lawrence,EDGE,2,2,2,1.0,1.0,1,1,,,,,26,0.07692307692307693
dallas-cowboys,Dallas Cowboys,Malik Muhammad,CB,2,2,2,3.0,3.0,3,3,,,,,26,0.07692307692307693
dallas-cowboys,Dallas Cowboys,Alex Harkey,OT,1,1,1,5.0,5.0,5,5,,,,,26,0.038461538461538464
dallas-cowboys,Dallas Cowboys,Carnell Tate,WR,1,1,1,1.0,1.0,1,1,,,,,26,0.038461538461538464
dallas-cowboys,Dallas Cowboys,Colton Hood,CB,1,1,1,1.0,1.0,1,1,,,,,26,0.038461538461538464
dallas-cowboys,Dallas Cowboys,Jack Kelly,LB,1,1,1,7.0,7.0,7,7,,,,,26,0.038461538461538464
dallas-cowboys,Dallas Cowboys,Jaishawn Barham,LB,1,1,1,4.0,4.0,4,4,,,,,26,0.038461538461538464
dallas-cowboys,Dallas Cowboys,Jamarion Miller,RB,1,1,1,5.0,5.0,5,5,,,,,26,0.038461538461538464
dallas-cowboys,Dallas Cowboys,Jeff Caldwell,WR,1,1,1,5.0,5.0,5,5,,,,,26,0.038461538461538464
dallas-cowboys,Dallas Cowboys,Jermod McCoy,CB,1,1,1,1.0,1.0,1,1,,,,,26,0.038461538461538464
dallas-cowboys,Dallas Cowboys,Keyron Crawford,EDGE,1,1,1,3.0,3.0,3,3,,,,,26,0.038461538461538464
dallas-cowboys,Dallas Cowboys,Le'Veon Moss,RB,1,1,1,5.0,5.0,5,5,,,,,26,0.038461538461538464
