team_slug,team_name,player_position,mock_count,unique_players,avg_round,median_round,min_round,max_round,avg_pick,median_pick,min_pick,max_pick
arizona-cardinals,Arizona Cardinals,EDGE,4,3,3.25,2.5,1,7,,,,
arizona-cardinals,Arizona Cardinals,OT,3,2,3.3333333333333335,2.0,2,6,,,,
arizona-cardinals,Arizona Cardinals,DL,2,2,3.5,3.5,3,4,,,,
arizona-cardinals,Arizona Cardinals,LB,2,2,5.5,5.5,4,7,,,,
arizona-cardinals,Arizona Cardinals,CB,1,1,5.0,5.0,5,5,,,,
arizona-cardinals,Arizona Cardinals,QB,1,1,5.0,5.0,5,5,,,,
arizona-cardinals,Arizona Cardinals,RB,1,1,6.0,6.0,6,6,,,,
arizona-cardinals,Arizona Cardinals,WR,1,1,3.0,3.0,3,3,,,,
atlanta-falcons,Atlanta Falcons,CB,1,1,3.0,3.0,3,3,,,,
atlanta-falcons,Atlanta Falcons,DL,1,1,2.0,2.0,2,2,,,,
atlanta-falcons,Atlanta Falcons,IOL,1,1,7.0,7.0,7,7,,,,
atlanta-falcons,Atlanta Falcons,TE,1,1,6.0,6.0,6,6,,,,
atlanta-falcons,Atlanta Falcons,WR,1,1,4.0,4.0,4,4,,,,
baltimore-ravens,Baltimore Ravens,IOL,2,2,3.0,3.0,2,4,,,,
baltimore-ravens,Baltimore Ravens,CB,1,1,1.0,1.0,1,1,,,,
baltimore-ravens,Baltimore Ravens,WR,1,1,3.0,3.0,3,3,,,,
chicago-bears,Chicago Bears,DL,4,4,2.0,1.5,1,4,,,,
chicago-bears,Chicago Bears,EDGE,4,3,3.5,2.5,2,7,,,,
chicago-bears,Chicago Bears,IOL,3,3,3.3333333333333335,3.0,3,4,,,,
chicago-bears,Chicago Bears,S,3,3,2.3333333333333335,2.0,1,4,,,,
chicago-bears,Chicago Bears,LB,2,1,2.5,2.5,2,3,,,,
chicago-bears,Chicago Bears,WR,2,2,7.0,7.0,7,7,,,,
chicago-bears,Chicago Bears,CB,1,1,2.0,2.0,2,2,,,,
chicago-bears,Chicago Bears,RB,1,1,7.0,7.0,7,7,,,,
cleveland-browns,Cleveland Browns,CB,2,2,3.0,3.0,2,4,,,,
cleveland-browns,Cleveland Browns,TE,2,2,4.0,4.0,1,7,,,,
cleveland-browns,Cleveland Browns,WR,2,2,1.5,1.5,1,2,,,,
cleveland-browns,Cleveland Browns,DL,1,1,5.0,5.0,5,5,,,,
cleveland-browns,Cleveland Browns,OT,1,1,3.0,3.0,3,3,,,,
cleveland-browns,Cleveland Browns,QB,1,1,5.0,5.0,5,5,,,,
cleveland-browns,Cleveland Browns,S,1,1,6.0,6.0,6,6,,,,
dallas-cowboys,Dallas Cowboys,LB,6,4,3.1666666666666665,3.0,1,7,,,,
dallas-cowboys,Dallas Cowboys,CB,4,3,2.0,2.0,1,3,,,,
dallas-cowboys,Dallas Cowboys,EDGE,4,3,3.0,2.0,1,7,,,,
dallas-cowboys,Dallas Cowboys,S,4,2,2.25,2.0,1,4,,,,
dallas-cowboys,Dallas Cowboys,DL,2,2,5.0,5.0,5,5,,,,
dallas-cowboys,Dallas Cowboys,RB,2,2,5.0,5.0,5,5,,,,
dallas-cowboys,Dallas Cowboys,WR,2,2,3.0,3.0,1,5,,,,
dallas-cowboys,Dallas Cowboys,OT,1,1,5.0,5.0,5,5,,,,
dallas-cowboys,Dallas Cowboys,TE,1,1,4.0,4.0,4,4,,,,
