player_name,player_position,mock_count,unique_mocks,unique_authors,avg_round,median_round,min_round,max_round,avg_pick,median_pick,min_pick,max_pick,team_count,most_common_team,most_common_team_slug
Emmanuel McNeil-Warren,S,10,10,10,1.1,1.0,1,2,,,,,5,Chicago Bears,chicago-bears
Jacob Rodriguez,LB,10,10,9,2.0,2.0,2,2,,,,,8,Cincinnati Bengals,cincinnati-bengals
Tacario Davis,CB,10,10,10,4.4,4.5,3,5,,,,,8,Green Bay Packers,green-bay-packers
Bud Clark,S,9,9,9,3.7777777777777777,4.0,3,4,,,,,7,Denver Broncos,denver-broncos
Denzel Boston,WR,9,9,9,1.3333333333333333,1.0,1,2,,,,,6,Kansas City Chiefs,kansas-city-chiefs
Derrick Moore,EDGE,9,9,9,2.4444444444444446,2.0,2,4,,,,,7,Chicago Bears,chicago-bears
Jalon Kilgore,S,9,9,9,4.111111111111111,4.0,3,6,,,,,7,Las Vegas Raiders,las-vegas-raiders
Keylan Rutledge,IOL,9,9,9,3.4444444444444446,3.0,3,5,,,,,8,Philadelphia Eagles,philadelphia-eagles
Oscar Delp,TE,9,9,9,3.5555555555555554,3.0,3,5,,,,,6,Carolina Panthers,carolina-panthers
Bryce Boettcher,LB,8,8,8,5.125,5.0,4,6,,,,,7,Denver Broncos,denver-broncos
Chase Bisontis,IOL,8,8,8,2.0,2.0,2,2,,,,,5,New York Jets,new-york-jets
Mike Washington Jr.,RB,8,8,7,2.625,3.0,2,3,,,,,7,Seattle Seahawks,seattle-seahawks
A.J. Haulcy,S,7,7,7,2.2857142857142856,2.0,2,3,,,,,6,Chicago Bears,chicago-bears
Bryce Lance,WR,7,7,7,3.142857142857143,3.0,2,4,,,,,6,Miami Dolphins,miami-dolphins
DeMonte Capehart,DL,7,7,7,5.428571428571429,5.0,4,7,,,,,7,Buffalo Bills,buffalo-bills
Harold Perkins,LB,7,7,6,5.571428571428571,5.0,5,7,,,,,7,Arizona Cardinals,arizona-cardinals
Romello Height,EDGE,7,7,7,3.2857142857142856,3.0,2,5,,,,,5,Las Vegas Raiders,las-vegas-raiders
Anthony Hill Jr.,LB,6,6,6,2.3333333333333335,2.0,2,3,,,,,4,Cincinnati Bengals,cincinnati-bengals
Caden Curry,EDGE,6,6,6,5.833333333333333,6.0,4,7,,,,,5,Tennessee Titans,tennessee-titans
Caleb Downs,S,6,6,5,1.0,1.0,1,1,,,,,4,Washington Commanders,washington-commanders
Chris Johnson,CB,6,6,6,1.8333333333333333,2.0,1,2,,,,,5,Seattle Seahawks,seattle-seahawks
Daylen Everette,CB,6,6,6,3.6666666666666665,3.5,3,5,,,,,5,Green Bay Packers,green-bay-packers
Demond Claiborne,RB,6,6,6,4.666666666666667,5.0,4,5,,,,,4,Kansas City Chiefs,kansas-city-chiefs
Domonique Orange,DL,6,6,5,3.0,3.0,3,3,,,,,6,Arizona Cardinals,arizona-cardinals
Dontay Corleone,DL,6,6,5,4.5,4.0,4,6,,,,,6,Buffalo Bills,buffalo-bills
Fernando Mendoza,QB,6,6,6,1.0,1.0,1,1,,,,,1,Las Vegas Raiders,las-vegas-raiders
Gabe Jacas,EDGE,6,6,5,2.5,2.5,2,3,,,,,6,Chicago Bears,chicago-bears
Gracen Halton,DL,6,6,5,3.0,3.0,2,4,,,,,5,Cincinnati Bengals,cincinnati-bengals
Hezekiah Masses,CB,6,6,6,4.833333333333333,5.0,4,5,,,,,5,Las Vegas Raiders,las-vegas-raiders
Isaiah World,OT,6,6,6,5.166666666666667,5.0,4,7,,,,,6,Cleveland Browns,cleveland-browns
Jake Golday,LB,6,6,5,2.1666666666666665,2.0,2,3,,,,,5,Chicago Bears,chicago-bears
Jordyn Tyson,WR,6,6,6,1.0,1.0,1,1,,,,,6,Carolina Panthers,carolina-panthers
Kaden Wetjen,WR,6,6,6,6.833333333333333,7.0,6,7,,,,,5,Chicago Bears,chicago-bears
Kyle Louis,LB,6,6,6,3.5,4.0,2,4,,,,,5,New England Patriots,new-england-patriots
Lee Hunter,DL,6,6,6,2.0,2.0,2,2,,,,,6,Arizona Cardinals,arizona-cardinals
