year,team_slug,team_name,player_norm,player_name,position_raw,position_normalized,school,visit_types_normalized,visit_statuses,sources,source_count,source_record_count,position_sources,school_sources,visit_type_sources,backfilled_position,backfilled_school,backfilled_visit_type,raw_visit_codes,raw_visit_markers
2026,arizona-cardinals,Arizona Cardinals,akheemmesidor,Akheem Mesidor,DE,DE,Miami,combine_meeting,reported,nfltraderumors,1,1,1,1,1,False,False,False,,
2026,arizona-cardinals,Arizona Cardinals,arvellreese,Arvell Reese,Linebacker,LB,Ohio State,top_30_visit|combine_meeting,reported,nfltraderumors|walterfootball,2,3,2,2,2,False,False,False,T30,
2026,arizona-cardinals,Arizona Cardinals,austinbarber,Austin Barber,Offensive Tackle,OT,Florida,top_30_visit,reported|scheduled,nfltraderumors|walterfootball,2,2,2,2,2,False,False,False,T30,
2026,arizona-cardinals,Arizona Cardinals,calebbanks,Caleb Banks,Defensive Tackle,DT,Florida,top_30_visit,reported,nfltraderumors|walterfootball,2,2,2,2,2,False,False,False,T30,
2026,arizona-cardinals,Arizona Cardinals,calebdouglas,Caleb Douglas,Wide Receiver,WR,Texas Tech,top_30_visit,reported|scheduled,nfltraderumors|walterfootball,2,2,2,2,2,False,False,False,T30,
2026,arizona-cardinals,Arizona Cardinals,calebdowns,Caleb Downs,S,S,Ohio State,combine_meeting,reported,nfltraderumors,1,1,1,1,1,False,False,False,,
2026,arizona-cardinals,Arizona Cardinals,calebtiernan,Caleb Tiernan,Offensive Tackle,OT,Northwestern,top_30_visit,reported,nfltraderumors|walterfootball,2,2,2,2,2,False,False,False,T30,
2026,arizona-cardinals,Arizona Cardinals,carsonbeck,Carson Beck,Quarterback,QB,Miami,top_30_visit,reported,nfltraderumors|walterfootball,2,2,2,2,2,False,False,False,T30,
2026,arizona-cardinals,Arizona Cardinals,chrisbrazzell,Chris Brazzell II,Wide Receiver,WR,Tennessee,top_30_visit,reported,nfltraderumors|walterfootball,2,2,2,2,2,False,False,False,T30,
2026,arizona-cardinals,Arizona Cardinals,chrismcclellan,Chris McClellan,Defensive Tackle,DT,Missouri,top_30_visit,reported,nfltraderumors|walterfootball,2,2,2,2,2,False,False,False,T30,
