author_name,mocks_scraped,years_covered,avg_site_completion_percentage,avg_exact_pick_match_rate,avg_team_match_rate,avg_round_match_rate,avg_player_drafted_match_rate,avg_mean_pick_abs_error
Dalton Miller,1,1,38.94,0.40625,0.34375,0.78125,1.0,8.46875
Nick Jacobs,1,1,38.94,0.375,0.375,0.875,1.0,5.75
Zach Cohen,1,1,37.98,0.375,0.375,0.84375,1.0,5.53125
DJ Boyer,1,1,36.78,0.3125,0.3125,0.6875,1.0,9.21875
Freddy Branson,1,1,36.3,0.375,0.3125,0.84375,1.0,9.53125
Jordan Reid,1,1,36.3,0.34375,0.375,0.8125,1.0,7.34375
Les Bowen,1,1,36.3,0.3125,0.34375,0.78125,1.0,6.375
Brendan Donahue,1,1,34.86,0.3125,0.34375,0.84375,1.0,4.9375
Ben Allbright,2,2,34.495,0.328125,0.3125,0.8125,1.0,6.453125
Logan Ulrich,2,2,34.375,0.328125,0.296875,0.796875,1.0,6.6875
Ryan Phillips,1,1,33.89,0.28125,0.3125,0.75,1.0,8.53125
Dave Birkett,1,1,33.65,0.375,0.34375,0.75,1.0,8.03125
Peter King,1,1,33.41,0.3125,0.34375,0.75,1.0,8.46875
Joe Gilbert,1,1,33.17,0.28125,0.3125,0.6875,1.0,12.125
Joel Klatt,1,1,32.21,0.28125,0.3125,0.84375,1.0,5.3125
Keegan Pope,1,1,31.49,0.28125,0.25,0.6875,1.0,13.5625
Bob McManaman,1,1,31.25,0.25,0.25,0.71875,1.0,9.25
Cecil Lammey,1,1,31.01,0.25,0.4375,0.84375,1.0,5.71875
Andersen Pickard,1,1,30.53,0.375,0.25,0.75,1.0,6.15625
Ryan McFadden,1,1,30.53,0.28125,0.3125,0.8125,1.0,5.125
Steve Seufert,1,1,30.53,0.28125,0.28125,0.84375,1.0,4.8125
Ian Hartitz,1,1,30.53,0.25,0.28125,0.75,1.0,8.1875
Shawn Wagner,1,1,30.29,0.25,0.3125,0.78125,1.0,8.9375
Mike Kadlick,1,1,30.05,0.25,0.3125,0.84375,1.0,5.53125
Matt Lombardo,1,1,30.05,0.25,0.25,0.8125,1.0,9.28125
Brian Johannes,2,2,30.049999999999997,0.296875,0.28125,0.828125,1.0,7.15625
Ryan Pawloski,1,1,29.81,0.28125,0.34375,0.78125,1.0,8.875
Sean Green,1,1,29.57,0.3225806451612903,0.3548387096774194,0.8064516129032258,1.0,7.67741935483871
Albert Breer,4,4,29.5075,0.25,0.2890625,0.8359375,1.0,5.96875
Zack Cox,1,1,28.85,0.21875,0.3125,0.8125,1.0,9.0625
Matt Miller,1,1,28.61,0.25,0.25,0.78125,1.0,8.5625
Frankie Taddeo,1,1,28.61,0.25,0.21875,0.75,1.0,9.78125
Media,1,1,28.37,0.25,0.25,0.75,1.0,8.8125
Jared Smola,2,2,28.365000000000002,0.25,0.3125,0.890625,1.0,7.0625
Dan Kadar,3,3,28.206666666666667,0.22916666666666666,0.25,0.7916666666666666,1.0,8.84375
Andy McNamara,1,1,28.13,0.25,0.3125,0.8125,1.0,7.21875
Daniel Spencer,1,1,28.13,0.21875,0.21875,0.78125,1.0,8.40625
Walter Cherepinsky,5,5,28.028,0.24375,0.29375,0.85625,1.0,6.61875
Ayrton Ostly,1,1,27.88,0.28125,0.25,0.78125,1.0,11.59375
Jeff Schudel,1,1,27.88,0.25,0.28125,0.8125,1.0,6.0
