author_name,mocks_scraped,years_covered,avg_custom_accuracy_score,avg_simple_score_points,avg_simple_score_rate,avg_round_one_player_match_rate,avg_player_to_team_match_rate,avg_player_to_pick_match_rate,avg_mean_pick_abs_error,first_year,last_year,latest_published_at
Connor Hughes,2,2,70.0,21.0,0.7,1.0,0.55,0.55,1.65,2024,2025,2025-04-24
James Brizuela,1,1,66.66666666666666,20.0,0.6666666666666666,1.0,0.5,0.5,1.9,2024,2024,2024-04-20
Jeff Howe,1,1,66.66666666666666,20.0,0.6666666666666666,1.0,0.5,0.7,3.4,2025,2025,2025-04-22
Frank Schwab,1,1,63.33333333333333,19.0,0.6333333333333333,0.9,0.5,0.7,14.6,2025,2025,2025-04-21
Gavino Borquez,1,1,63.33333333333333,19.0,0.6333333333333333,0.9,0.5,0.7,15.0,2025,2025,2025-04-14
Colin Cowherd,2,2,60.55555555555555,24.0,0.6055555555555555,0.9666666666666666,0.425,0.45,4.283333333333333,2024,2025,2025-04-24
Ralph Vacchiano,1,1,60.0,18.0,0.6,1.0,0.4,0.2,4.1,2022,2022,2022-04-26
Cecil Lammey,1,1,57.29166666666666,55.0,0.5729166666666666,0.84375,0.4375,0.25,5.71875,2024,2024,2024-04-24
Andy Staples,1,1,56.25,54.0,0.5625,0.8125,0.4375,0.28125,6.46875,2024,2024,2024-04-23
Cade Clodi,1,1,53.333333333333336,16.0,0.5333333333333333,1.0,0.3,0.3,4.0,2023,2023,2023-04-19
Garion Thorne,1,1,53.333333333333336,16.0,0.5333333333333333,1.0,0.3,0.3,2.8,2021,2021,2021-04-27
Jordan Reid,1,1,52.083333333333336,50.0,0.5208333333333334,0.8125,0.375,0.34375,7.34375,2021,2021,2021-04-27
Chris Simms,1,1,52.083333333333336,50.0,0.5208333333333334,0.875,0.34375,0.21875,6.4375,2024,2024,2024-04-22
Josh Larky,1,1,52.083333333333336,50.0,0.5208333333333334,0.875,0.34375,0.3125,4.9375,2024,2024,2024-04-19
Judah Fortgang,1,1,52.083333333333336,25.0,0.5208333333333334,0.9375,0.3125,0.4375,10.5,2025,2025,2025-04-10
Parker Hurley,2,2,52.08333333333333,12.5,0.5208333333333334,0.9375,0.3125,0.3125,4.375,2023,2024,2024-04-10
John Crumpler,1,1,51.66666666666667,31.0,0.5166666666666667,0.95,0.3,0.2,6.45,2022,2022,2022-04-28
Zach Goodall,1,1,51.04166666666666,49.0,0.5104166666666666,0.78125,0.375,0.3125,7.03125,2021,2021,2021-04-26
Brendan Donahue,1,1,51.04166666666666,49.0,0.5104166666666666,0.84375,0.34375,0.3125,4.9375,2021,2021,2021-04-29
Charlie Campbell,6,6,50.884184587813614,46.5,0.5088418458781362,0.8278965053763442,0.34931451612903225,0.2594758064516129,6.601344086021506,2020,2025,2025-04-24
Zach Cohen,2,2,50.520833333333336,48.5,0.5052083333333334,0.890625,0.3125,0.265625,6.46875,2021,2022,2022-04-24
Jared Smola,2,2,50.52083333333333,48.5,0.5052083333333333,0.890625,0.3125,0.25,7.0625,2024,2025,2025-04-24
Jared Wasserman,1,1,50.0,48.0,0.5,0.8125,0.34375,0.21875,6.90625,2024,2024,2024-04-25
Maddy Hudak,1,1,50.0,48.0,0.5,0.8125,0.34375,0.25,6.53125,2021,2021,2021-04-23
Theo Gremminger,1,1,50.0,48.0,0.5,0.875,0.3125,0.25,4.96875,2024,2024,2024-04-21
Les Bowen,1,1,48.95833333333333,47.0,0.4895833333333333,0.78125,0.34375,0.3125,6.375,2021,2021,2021-04-27
Tyler Jacobs,1,1,48.95833333333333,47.0,0.4895833333333333,0.78125,0.34375,0.21875,9.15625,2020,2020,2020-04-15
Braden Holecek,1,1,48.95833333333333,47.0,0.4895833333333333,0.84375,0.3125,0.21875,6.46875,2024,2024,2024-04-23
Freddy Branson,1,1,48.95833333333333,47.0,0.4895833333333333,0.84375,0.3125,0.375,9.53125,2025,2025,2025-04-23
Mike Kadlick,1,1,48.95833333333333,47.0,0.4895833333333333,0.84375,0.3125,0.25,5.53125,2024,2024,2024-04-25
Scott Bogman,1,1,48.95833333333333,47.0,0.4895833333333333,0.84375,0.3125,0.21875,6.4375,2024,2024,2024-04-23
Tom Downey,2,2,48.4375,46.5,0.484375,0.890625,0.28125,0.1875,5.71875,2022,2024,2024-04-23
Dave Birkett,1,1,47.91666666666667,46.0,0.4791666666666667,0.75,0.34375,0.375,8.03125,2020,2020,2020-04-22
John Kosko,1,1,47.91666666666667,46.0,0.4791666666666667,0.75,0.34375,0.25,15.5625,2025,2025,2025-04-22
Michael Campbell,1,1,47.91666666666667,46.0,0.4791666666666667,0.75,0.34375,0.25,8.5,2021,2021,2021-04-14
Andy McNamara,1,1,47.91666666666667,46.0,0.4791666666666667,0.8125,0.3125,0.25,7.21875,2021,2021,2021-04-28
Ryan McFadden,1,1,47.91666666666667,46.0,0.4791666666666667,0.8125,0.3125,0.28125,5.125,2024,2024,2024-04-24
Zack Cox,1,1,47.91666666666667,46.0,0.4791666666666667,0.8125,0.3125,0.21875,9.0625,2020,2020,2020-04-19
Matt Rooney,1,1,47.91666666666667,46.0,0.4791666666666667,0.875,0.28125,0.25,5.34375,2024,2024,2024-04-25
Matty Kiwoom,1,1,47.91666666666667,46.0,0.4791666666666667,0.875,0.28125,0.1875,6.65625,2024,2024,2024-04-23
Andrew Callahan,2,2,47.395833333333336,45.5,0.47395833333333337,0.859375,0.28125,0.203125,8.0625,2024,2025,2025-04-24
Tyler Lauletta,1,1,47.31182795698925,44.0,0.4731182795698925,0.7096774193548387,0.3548387096774194,0.2258064516129032,9.580645161290322,2020,2020,2020-04-20
Hub Arkush,1,1,47.31182795698925,44.0,0.4731182795698925,0.8387096774193549,0.2903225806451613,0.2258064516129032,7.387096774193548,2023,2023,2023-04-21
Jacob Camenker,6,6,47.27262544802867,45.166666666666664,0.47272625448028677,0.8429099462365591,0.28763440860215056,0.22967069892473116,7.115759408602151,2020,2025,2025-04-24
Albert Breer,5,5,47.083333333333336,45.2,0.4708333333333333,0.8375,0.2875,0.25,5.9625,2020,2025,2025-04-24
Anthony Staggs,3,3,46.942204301075265,44.666666666666664,0.4694220430107527,0.863239247311828,0.27251344086021506,0.167002688172043,6.694220430107527,2021,2023,2023-04-27
James Rapien,1,1,46.875,45.0,0.46875,0.78125,0.3125,0.21875,10.40625,2021,2021,2021-04-28
Shawn Wagner,1,1,46.875,45.0,0.46875,0.78125,0.3125,0.25,8.9375,2020,2020,2020-04-23
Brian Wacker,1,1,46.875,45.0,0.46875,0.84375,0.28125,0.21875,4.875,2024,2024,2024-04-19
Dan Wilkins,1,1,46.875,45.0,0.46875,0.84375,0.28125,0.15625,8.53125,2023,2023,2023-04-26
Derek Brown,1,1,46.875,45.0,0.46875,0.84375,0.28125,0.15625,7.09375,2022,2022,2022-04-27
Joe Rivera,1,1,46.875,45.0,0.46875,0.84375,0.28125,0.28125,10.4375,2025,2025,2025-04-16
John Breech,1,1,46.875,45.0,0.46875,0.84375,0.28125,0.1875,6.1875,2024,2024,2024-04-23
Michelle R. Martinelli,1,1,46.875,45.0,0.46875,0.84375,0.28125,0.28125,10.4375,2025,2025,2025-04-17
Mike Band,1,1,46.875,45.0,0.46875,0.84375,0.28125,0.34375,11.0,2025,2025,2025-04-14
Saivion Mixson,1,1,46.875,45.0,0.46875,0.84375,0.28125,0.21875,5.75,2024,2024,2024-04-15
Steve Seufert,1,1,46.875,45.0,0.46875,0.84375,0.28125,0.28125,4.8125,2021,2021,2021-04-28
Walter Cherepinsky,6,6,46.73499103942652,44.666666666666664,0.46734991039426527,0.8587029569892474,0.2716733870967742,0.2192540322580645,6.580141129032259,2020,2025,2025-04-24
Scott Smith,6,6,46.583781362007166,44.5,0.46583781362007165,0.853494623655914,0.27200940860215056,0.22967069892473116,6.012264784946236,2020,2025,2025-04-24
Nick Guarisco,5,5,46.538978494623656,44.4,0.4653897849462365,0.8554435483870968,0.2703629032258065,0.2070564516129032,6.9362903225806445,2020,2025,2025-04-24
Dan Parr,2,2,46.35416666666667,44.5,0.4635416666666667,0.890625,0.25,0.265625,5.3125,2024,2025,2025-04-24
Evan Wanish,2,2,46.354166666666664,44.5,0.46354166666666663,0.859375,0.265625,0.203125,8.515625,2024,2025,2025-04-24
Matt Anderson,1,1,46.236559139784944,43.0,0.4623655913978494,0.8064516129032258,0.2903225806451613,0.1290322580645161,9.0,2023,2023,2023-04-25
RJ White,4,4,46.09375,36.0,0.4609375,0.8578125,0.2625,0.1984375,6.4375,2020,2025,2025-04-24
Sean Green,3,3,46.01254480286738,43.666666666666664,0.46012544802867383,0.8521505376344086,0.26411290322580644,0.2221102150537634,7.382056451612904,2023,2025,2025-04-22
Scotty Payne,5,5,45.880376344086024,43.8,0.4588037634408602,0.823991935483871,0.27620967741935487,0.24495967741935484,7.9957661290322575,2020,2025,2025-04-24
Nelson Espinal,1,1,45.83333333333333,44.0,0.4583333333333333,0.75,0.3125,0.28125,8.21875,2021,2021,2021-04-25
Nick Brinkerhoff,1,1,45.83333333333333,44.0,0.4583333333333333,0.75,0.3125,0.3125,17.125,2025,2025,2025-04-18
Anthony Amico,1,1,45.83333333333333,44.0,0.4583333333333333,0.8125,0.28125,0.3125,9.8125,2025,2025,2025-04-19
Carmen Vitali,1,1,45.83333333333333,44.0,0.4583333333333333,0.8125,0.28125,0.15625,10.0625,2022,2022,2022-04-26
Jeff Schudel,1,1,45.83333333333333,44.0,0.4583333333333333,0.8125,0.28125,0.25,6.0,2021,2021,2021-04-28
Stephen Reed,1,1,45.83333333333333,44.0,0.4583333333333333,0.8125,0.28125,0.1875,7.65625,2024,2024,2024-04-19
Jeff McLane,1,1,45.83333333333333,44.0,0.4583333333333333,0.875,0.25,0.1875,5.03125,2024,2024,2024-04-25
Matt Robinson,1,1,45.83333333333333,44.0,0.4583333333333333,0.875,0.25,0.1875,7.75,2022,2022,2022-04-28
Steve Serby,5,5,45.67876344086021,43.6,0.4567876344086021,0.8425403225806452,0.26391129032258065,0.2258064516129032,7.317741935483871,2020,2025,2025-04-23
Ari Meirov,3,3,45.486111111111114,43.666666666666664,0.45486111111111116,0.84375,0.2604166666666667,0.21875,8.760416666666666,2022,2025,2025-04-23
Lou Scataglia,2,2,45.41666666666667,26.0,0.45416666666666666,0.90625,0.228125,0.29375,5.403125,2024,2025,2025-04-24
Eddie Brown,4,4,45.34610215053763,43.25,0.4534610215053763,0.8109879032258065,0.27469758064516125,0.2036290322580645,7.8671875,2020,2024,2024-04-24
John Daigle,5,5,45.30913978494623,43.2,0.4530913978494624,0.842741935483871,0.25826612903225804,0.21370967741935484,7.1493951612903235,2021,2025,2025-04-24
Jeff Ratcliffe,3,3,45.22849462365591,43.0,0.4522849462365592,0.8736559139784946,0.2415994623655914,0.18850806451612903,5.803427419354839,2023,2025,2025-04-24
