author_name,mocks_scraped,years_covered,avg_custom_accuracy_score,avg_player_to_pick_match_rate,avg_player_to_team_match_rate,avg_team_to_position_match_rate,avg_round_match_rate,avg_mean_pick_abs_error
Connor Hughes,1,1,53.0,0.6,0.5,0.5,1.0,1.4
Cecil Lammey,1,1,38.75,0.25,0.4375,0.46875,0.84375,5.71875
Dalton Miller,1,1,38.125,0.40625,0.34375,0.4375,0.78125,8.46875
Nick Jacobs,1,1,38.125,0.375,0.375,0.40625,0.875,5.75
Jordan Reid,1,1,37.81250000000001,0.34375,0.375,0.4375,0.8125,7.34375
Zach Cohen,1,1,37.5,0.375,0.375,0.375,0.84375,5.53125
Dave Birkett,1,1,36.5625,0.375,0.34375,0.40625,0.75,8.03125
Ralph Vacchiano,1,1,36.0,0.2,0.4,0.5,1.0,4.1
Les Bowen,1,1,35.3125,0.3125,0.34375,0.4375,0.78125,6.375
Peter King,1,1,35.3125,0.3125,0.34375,0.4375,0.75,8.46875
DJ Boyer,1,1,35.0,0.3125,0.3125,0.5,0.6875,9.21875
Ryan Phillips,1,1,34.6875,0.28125,0.3125,0.53125,0.75,8.53125
Tyler Lauletta,1,1,34.193548387096776,0.2258064516129032,0.3548387096774194,0.4838709677419355,0.7096774193548387,9.580645161290322
Logan Ulrich,2,2,34.0625,0.328125,0.296875,0.46875,0.796875,6.6875
Brendan Donahue,1,1,34.0625,0.3125,0.34375,0.375,0.84375,4.9375
Garion Thorne,1,1,34.0,0.3,0.3,0.5,1.0,2.8
Sean Green,1,1,33.87096774193548,0.3225806451612903,0.3548387096774194,0.3225806451612903,0.8064516129032258,7.67741935483871
Freddy Branson,1,1,33.75,0.375,0.3125,0.34375,0.84375,9.53125
Ben Allbright,2,2,33.28125,0.328125,0.3125,0.390625,0.8125,6.453125
Lou Scataglia,1,1,33.0,0.4,0.3,0.3,1.0,4.4
Zack Cox,1,1,32.8125,0.21875,0.3125,0.53125,0.8125,9.0625
Charlie Campbell,6,6,31.96720430107527,0.2594758064516129,0.34931451612903225,0.33586021505376346,0.8278965053763442,6.601344086021506
Ryan Pawloski,1,1,31.875,0.28125,0.34375,0.3125,0.78125,8.875
Jared Wasserman,1,1,31.875,0.21875,0.34375,0.40625,0.8125,6.90625
Joel Klatt,1,1,31.5625,0.28125,0.3125,0.375,0.84375,5.3125
Shawn Wagner,1,1,31.25,0.25,0.3125,0.40625,0.78125,8.9375
Joe Gilbert,1,1,30.9375,0.28125,0.3125,0.34375,0.6875,12.125
Ryan McFadden,1,1,30.9375,0.28125,0.3125,0.34375,0.8125,5.125
Keegan Pope,1,1,30.9375,0.28125,0.25,0.5,0.6875,13.5625
Colin Cowherd,1,1,30.666666666666664,0.4,0.2666666666666666,0.2666666666666666,0.9333333333333332,6.066666666666666
Andersen Pickard,1,1,30.625000000000004,0.375,0.25,0.34375,0.75,6.15625
Andy McNamara,1,1,30.625000000000004,0.25,0.3125,0.375,0.8125,7.21875
Steve Seufert,1,1,30.625,0.28125,0.28125,0.40625,0.84375,4.8125
Albert Breer,4,4,30.546875,0.25,0.2890625,0.4296875,0.8359375,5.96875
Mike Kadlick,1,1,30.000000000000004,0.25,0.3125,0.34375,0.84375,5.53125
Bob McManaman,1,1,30.000000000000004,0.25,0.25,0.5,0.71875,9.25
Jared Smola,2,2,30.0,0.25,0.3125,0.34375,0.890625,7.0625
Reuben Frank,1,1,30.0,0.21875,0.28125,0.46875,0.8125,6.625
Jeff Schudel,1,1,29.6875,0.25,0.28125,0.40625,0.8125,6.0
Matt Rooney,1,1,29.6875,0.25,0.28125,0.40625,0.875,5.34375
Brian Johannes,2,2,29.53125,0.296875,0.28125,0.328125,0.828125,7.15625
Matt Miller,1,1,29.375,0.25,0.25,0.46875,0.78125,8.5625
John Crumpler,1,1,29.000000000000004,0.2,0.3,0.4,0.95,6.45
Walter Cherepinsky,5,5,28.875,0.24375,0.29375,0.34375,0.85625,6.61875
Conor Orr,1,1,28.75,0.21875,0.28125,0.40625,0.75,8.46875
Ian Hartitz,1,1,28.437500000000004,0.25,0.28125,0.34375,0.75,8.1875
Eric Edholm,2,2,28.4375,0.234375,0.296875,0.328125,0.8125,7.671875
Matt Lombardo,1,1,28.125,0.25,0.25,0.40625,0.8125,9.28125
Media,1,1,28.125,0.25,0.25,0.40625,0.75,8.8125
Jim Derry,1,1,28.000000000000004,0.4,0.2,0.3,0.9,4.2
James Rapien,1,1,27.8125,0.21875,0.3125,0.28125,0.78125,10.40625
Andrew Falce,1,1,27.8125,0.21875,0.25,0.4375,0.8125,7.25
Jacob Camenker,6,6,27.646169354838708,0.22967069892473116,0.28763440860215056,0.3187163978494624,0.8429099462365591,7.115759408602151
Jeff Ratcliffe,2,2,27.5,0.234375,0.265625,0.359375,0.875,5.140625
Dan Kadar,3,3,27.5,0.22916666666666666,0.25,0.40625,0.7916666666666666,8.84375
Rob Maaddi,1,1,27.41935483870968,0.2580645161290322,0.2903225806451613,0.2580645161290322,0.7741935483870968,7.838709677419355
Danny Kelly,2,2,27.34375,0.25,0.234375,0.40625,0.828125,6.75
Eddie Brown,4,4,27.217741935483872,0.2036290322580645,0.27469758064516125,0.36869959677419356,0.8109879032258065,7.8671875
Scotty Payne,5,5,27.191532258064512,0.24495967741935484,0.27620967741935487,0.3016129032258065,0.823991935483871,7.9957661290322575
Johnny McGonigal,1,1,27.187500000000004,0.25,0.28125,0.28125,0.875,5.90625
Frankie Taddeo,1,1,27.187500000000004,0.25,0.21875,0.4375,0.75,9.78125
Daniel Kitchen,1,1,27.1875,0.21875,0.25,0.40625,0.75,8.25
Scott Smith,6,6,27.180779569892476,0.22967069892473116,0.27200940860215056,0.3345094086021505,0.853494623655914,6.012264784946236
Nick Guarisco,5,5,27.008064516129036,0.2070564516129032,0.2703629032258065,0.3639112903225806,0.8554435483870968,6.9362903225806445
Charles Davis,5,5,26.875,0.23125,0.25625,0.35625,0.81875,7.33125
Sam Teets,2,2,26.71875,0.21875,0.265625,0.34375,0.84375,6.25
Ayrton Ostly,1,1,26.5625,0.28125,0.25,0.28125,0.78125,11.59375
Cam Garrity,1,1,26.5625,0.1875,0.28125,0.34375,0.8125,8.71875
Keith Lott,1,1,26.25,0.1875,0.3125,0.25,0.8125,8.9375
Mike Freeman,1,1,26.25,0.1875,0.25,0.40625,0.78125,9.0
Steve Serby,5,5,26.114919354838708,0.2258064516129032,0.26391129032258065,0.307258064516129,0.8425403225806452,7.317741935483871
Richie Bradshaw,2,2,26.09375,0.21875,0.265625,0.3125,0.796875,11.609375
Ben Axelrod,4,4,26.04334677419355,0.21169354838709678,0.24344758064516128,0.376008064516129,0.803679435483871,7.569808467741936
Jason Pruett,5,5,25.993951612903224,0.2068548387096774,0.2703629032258065,0.313508064516129,0.8298387096774194,7.681854838709677
Josh Schrock,1,1,25.937500000000004,0.21875,0.25,0.34375,0.78125,6.75
Matt Johnson,1,1,25.937500000000004,0.21875,0.25,0.34375,0.875,4.78125
Nick Klopsis,1,1,25.937500000000004,0.21875,0.25,0.34375,0.71875,7.03125
Richard Janvrin,1,1,25.937500000000004,0.21875,0.25,0.34375,0.875,6.4375
