author_name,mock_name,mocks_scraped,years_covered,avg_custom_accuracy_score,avg_player_to_pick_match_rate,avg_player_to_team_match_rate,avg_team_to_position_match_rate,avg_round_match_rate,avg_player_drafted_match_rate,avg_mean_pick_abs_error
Connor Hughes,SNY,1,1,53.0,0.6,0.5,0.5,1.0,1.0,1.4
Staff,Fox Sports,1,1,40.625,0.3125,0.4375,0.46875,0.84375,1.0,5.3125
Staff,ESPN,1,1,39.6875,0.3125,0.40625,0.5,0.78125,1.0,7.96875
Cecil Lammey,Denver Sports,1,1,38.75,0.25,0.4375,0.46875,0.84375,1.0,5.71875
Dalton Miller,Pro Football Network,1,1,38.125,0.40625,0.34375,0.4375,0.78125,1.0,8.46875
Nick Jacobs,KSHB,1,1,38.125,0.375,0.375,0.40625,0.875,1.0,5.75
Jordan Reid,The Draft Network,1,1,37.81250000000001,0.34375,0.375,0.4375,0.8125,1.0,7.34375
Zach Cohen,NFL Spin Zone,1,1,37.5,0.375,0.375,0.375,0.84375,1.0,5.53125
Dave Birkett,Detroit Free Press,1,1,36.5625,0.375,0.34375,0.40625,0.75,1.0,8.03125
Nick Guarisco,Big Easy Sports Talk,1,1,36.25,0.3125,0.3125,0.5625,0.75,1.0,9.53125
Ralph Vacchiano,SNY,1,1,36.0,0.2,0.4,0.5,1.0,1.0,4.1
Les Bowen,Philadelphia Inquirer,1,1,35.3125,0.3125,0.34375,0.4375,0.78125,1.0,6.375
Peter King,NBC Sports,1,1,35.3125,0.3125,0.34375,0.4375,0.75,1.0,8.46875
DJ Boyer,DraftSite,1,1,35.0,0.3125,0.3125,0.5,0.6875,1.0,9.21875
Staff,UK Draft,1,1,34.6875,0.3125,0.34375,0.40625,0.78125,1.0,8.03125
Albert Breer,Sports Illustrated,1,1,34.6875,0.28125,0.3125,0.53125,0.78125,1.0,6.6875
Ryan Phillips,The Big Lead,1,1,34.6875,0.28125,0.3125,0.53125,0.75,1.0,8.53125
Tyler Lauletta,Business Insider,1,1,34.193548387096776,0.2258064516129032,0.3548387096774194,0.4838709677419355,0.7096774193548387,1.0,9.580645161290322
Logan Ulrich,NFL Trade Rumors,2,2,34.0625,0.328125,0.296875,0.46875,0.796875,1.0,6.6875
Brendan Donahue,Sharp Football Analysis,1,1,34.0625,0.3125,0.34375,0.375,0.84375,1.0,4.9375
Garion Thorne,Draft Kings,1,1,34.0,0.3,0.3,0.5,1.0,1.0,2.8
Sean Green,Sports Gambling Podcast,1,1,33.87096774193548,0.3225806451612903,0.3548387096774194,0.3225806451612903,0.8064516129032258,1.0,7.67741935483871
Jacob Camenker,Riggo's Rag,3,2,33.854166666666664,0.3125,0.3229166666666667,0.4166666666666667,0.8125,1.0,6.53125
Freddy Branson,Johns Hopkins News-Letter,1,1,33.75,0.375,0.3125,0.34375,0.84375,1.0,9.53125
Ben Allbright,Pro Football Network,2,2,33.28125,0.328125,0.3125,0.390625,0.8125,1.0,6.453125
Lou Scataglia,NFL Spin Zone,1,1,33.0,0.4,0.3,0.3,1.0,1.0,4.4
Zack Cox,NESN,1,1,32.8125,0.21875,0.3125,0.53125,0.8125,1.0,9.0625
Staff,Fantasy First Down,1,1,32.5,0.25,0.375,0.3125,0.875,1.0,5.53125
Jacob Camenker,USA Today,1,1,32.1875,0.28125,0.3125,0.40625,0.875,1.0,6.40625
Charlie Campbell,Walter Football,6,6,31.96720430107527,0.2594758064516129,0.34931451612903225,0.33586021505376346,0.8278965053763442,1.0,6.601344086021506
Ryan Pawloski,Still Curtain,1,1,31.875,0.28125,0.34375,0.3125,0.78125,1.0,8.875
Jared Wasserman,UD Review,1,1,31.875,0.21875,0.34375,0.40625,0.8125,1.0,6.90625
Joel Klatt,Fox Sports,1,1,31.5625,0.28125,0.3125,0.375,0.84375,1.0,5.3125
Staff,Daily Mail,1,1,31.5625,0.28125,0.3125,0.375,0.875,1.0,5.53125
Shawn Wagner,Acme Packing Company,1,1,31.25,0.25,0.3125,0.40625,0.78125,1.0,8.9375
Joe Gilbert,Waiting For Next Year,1,1,30.9375,0.28125,0.3125,0.34375,0.6875,1.0,12.125
Ryan McFadden,Denver Post,1,1,30.9375,0.28125,0.3125,0.34375,0.8125,1.0,5.125
Keegan Pope,Bleacher Report,1,1,30.9375,0.28125,0.25,0.5,0.6875,1.0,13.5625
Colin Cowherd,Fox Sports,1,1,30.666666666666664,0.4,0.2666666666666666,0.2666666666666666,0.9333333333333332,1.0,6.066666666666666
Andersen Pickard,Primetime Sports Talk,1,1,30.625000000000004,0.375,0.25,0.34375,0.75,1.0,6.15625
Andy McNamara,Sportsnet,1,1,30.625000000000004,0.25,0.3125,0.375,0.8125,1.0,7.21875
John Daigle,NBC Sports,1,1,30.625,0.28125,0.28125,0.40625,0.84375,1.0,6.34375
Steve Seufert,Primetime Sports Talk,1,1,30.625,0.28125,0.28125,0.40625,0.84375,1.0,4.8125
Staff,Draftwire,1,1,30.312500000000004,0.25,0.28125,0.4375,0.8125,1.0,7.3125
Mike Kadlick,CLNS,1,1,30.000000000000004,0.25,0.3125,0.34375,0.84375,1.0,5.53125
Bob McManaman,Arizona Republic,1,1,30.000000000000004,0.25,0.25,0.5,0.71875,1.0,9.25
Jared Smola,Draft Sharks,2,2,30.0,0.25,0.3125,0.34375,0.890625,1.0,7.0625
Reuben Frank,NBC Sports Philadelphia,1,1,30.0,0.21875,0.28125,0.46875,0.8125,1.0,6.625
Brett Gibbons,The Lines,1,1,29.6875,0.25,0.28125,0.40625,0.78125,1.0,6.96875
Jeff Schudel,News Herald,1,1,29.6875,0.25,0.28125,0.40625,0.8125,1.0,6.0
Matt Rooney,Bleacher Nation,1,1,29.6875,0.25,0.28125,0.40625,0.875,1.0,5.34375
Staff,The Draft Network,1,1,29.6875,0.25,0.28125,0.40625,0.8125,1.0,6.84375
Dan Kadar,SB Nation,1,1,29.6875,0.21875,0.25,0.53125,0.8125,1.0,8.1875
Brian Johannes,The Huddle Report,2,2,29.53125,0.296875,0.28125,0.328125,0.828125,1.0,7.15625
Matt Miller,Bleacher Report,1,1,29.375,0.25,0.25,0.46875,0.78125,1.0,8.5625
Scott Smith,Action Network,3,3,29.166666666666668,0.2604166666666667,0.28125,0.3645833333333333,0.8229166666666666,1.0,6.458333333333333
Albert Breer,SI,3,3,29.166666666666668,0.23958333333333334,0.28125,0.3958333333333333,0.8541666666666666,1.0,5.729166666666667
John Crumpler,Texans Wire,1,1,29.000000000000004,0.2,0.3,0.4,0.95,1.0,6.45
Walter Cherepinsky,Walter Football,5,5,28.875,0.24375,0.29375,0.34375,0.85625,1.0,6.61875
Conor Orr,SI,1,1,28.75,0.21875,0.28125,0.40625,0.75,1.0,8.46875
Josh Norris,Rotoworld,1,1,28.75,0.21875,0.28125,0.40625,0.78125,1.0,9.28125
Ian Hartitz,Pro Football Focus,1,1,28.437500000000004,0.25,0.28125,0.34375,0.75,1.0,8.1875
Eric Edholm,Yahoo Sports,2,2,28.4375,0.234375,0.296875,0.328125,0.8125,1.0,7.671875
Matt Lombardo,Fansided,1,1,28.125,0.25,0.25,0.40625,0.8125,1.0,9.28125
Media,Bengals.com,1,1,28.125,0.25,0.25,0.40625,0.75,1.0,8.8125
Jim Derry,Nola.com,1,1,28.000000000000004,0.4,0.2,0.3,0.9,1.0,4.2
Matthew Freedman,Fantasy Life,2,2,27.96875,0.234375,0.28125,0.34375,0.859375,1.0,6.703125
Kyle Crabbs,The Draft Network,1,1,27.8125,0.25,0.28125,0.3125,0.8125,1.0,4.3125
James Rapien,SI,1,1,27.8125,0.21875,0.3125,0.28125,0.78125,1.0,10.40625
Andrew Falce,Still Curtain,1,1,27.8125,0.21875,0.25,0.4375,0.8125,1.0,7.25
Staff,Fansided,1,1,27.500000000000004,0.25,0.25,0.375,0.625,1.0,13.21875
Staff,Cards Wire,1,1,27.500000000000004,0.21875,0.28125,0.34375,0.75,1.0,7.28125
Jeff Ratcliffe,FTN Fantasy,2,2,27.5,0.234375,0.265625,0.359375,0.875,1.0,5.140625
Rob Maaddi,AP News,1,1,27.41935483870968,0.2580645161290322,0.2903225806451613,0.2580645161290322,0.7741935483870968,1.0,7.838709677419355
