author_name,mock_name,mocks_scraped,years_covered,avg_custom_accuracy_score,avg_simple_score_points,avg_simple_score_rate,avg_round_one_player_match_rate,avg_player_to_team_match_rate,avg_player_to_pick_match_rate,avg_mean_pick_abs_error,first_year,last_year,latest_published_at
Connor Hughes,SNY,2,2,70.0,21.0,0.7,1.0,0.55,0.55,1.65,2024,2025,2025-04-24
James Brizuela,Newsweek,1,1,66.66666666666666,20.0,0.6666666666666666,1.0,0.5,0.5,1.9,2024,2024,2024-04-20
Jeff Howe,The Athletic,1,1,66.66666666666666,20.0,0.6666666666666666,1.0,0.5,0.7,3.4,2025,2025,2025-04-22
Staff,Bengals.com,1,1,66.66666666666666,36.0,0.6666666666666666,1.0,0.5,0.4444444444444444,3.4444444444444446,2024,2024,2024-04-12
Frank Schwab,Yahoo,1,1,63.33333333333333,19.0,0.6333333333333333,0.9,0.5,0.7,14.6,2025,2025,2025-04-21
Gavino Borquez,Newsweek,1,1,63.33333333333333,19.0,0.6333333333333333,0.9,0.5,0.7,15.0,2025,2025,2025-04-14
Colin Cowherd,Fox Sports,2,2,60.55555555555555,24.0,0.6055555555555555,0.9666666666666666,0.425,0.45,4.283333333333333,2024,2025,2025-04-24
Ralph Vacchiano,SNY,1,1,60.0,18.0,0.6,1.0,0.4,0.2,4.1,2022,2022,2022-04-26
Cecil Lammey,Denver Sports,1,1,57.29166666666666,55.0,0.5729166666666666,0.84375,0.4375,0.25,5.71875,2024,2024,2024-04-24
Andy Staples,On3,1,1,56.25,54.0,0.5625,0.8125,0.4375,0.28125,6.46875,2024,2024,2024-04-23
Staff,Fantasy First Down,1,1,54.16666666666666,52.0,0.5416666666666666,0.875,0.375,0.25,5.53125,2024,2024,2024-04-25
Cade Clodi,Last Word on Sports,1,1,53.333333333333336,16.0,0.5333333333333333,1.0,0.3,0.3,4.0,2023,2023,2023-04-19
Garion Thorne,Draft Kings,1,1,53.333333333333336,16.0,0.5333333333333333,1.0,0.3,0.3,2.8,2021,2021,2021-04-27
Zach Cohen,NFL Spin Zone,1,1,53.125,51.0,0.53125,0.84375,0.375,0.375,5.53125,2021,2021,2021-04-28
Jordan Reid,The Draft Network,1,1,52.083333333333336,50.0,0.5208333333333334,0.8125,0.375,0.34375,7.34375,2021,2021,2021-04-27
Chris Simms,NBC Sports,1,1,52.083333333333336,50.0,0.5208333333333334,0.875,0.34375,0.21875,6.4375,2024,2024,2024-04-22
Josh Larky,Player Profiler,1,1,52.083333333333336,50.0,0.5208333333333334,0.875,0.34375,0.3125,4.9375,2024,2024,2024-04-19
Staff,DraftBlaster,1,1,52.083333333333336,50.0,0.5208333333333334,0.875,0.34375,0.28125,5.5,2024,2024,2024-04-22
Judah Fortgang,Pro Football Focus,1,1,52.083333333333336,25.0,0.5208333333333334,0.9375,0.3125,0.4375,10.5,2025,2025,2025-04-10
Parker Hurley,Bear Goggles On,2,2,52.08333333333333,12.5,0.5208333333333334,0.9375,0.3125,0.3125,4.375,2023,2024,2024-04-10
John Crumpler,Texans Wire,1,1,51.66666666666667,31.0,0.5166666666666667,0.95,0.3,0.2,6.45,2022,2022,2022-04-28
Zach Goodall,SI,1,1,51.04166666666666,49.0,0.5104166666666666,0.78125,0.375,0.3125,7.03125,2021,2021,2021-04-26
Jacob Camenker,Riggo's Rag,2,2,51.04166666666666,49.0,0.5104166666666666,0.8125,0.359375,0.328125,6.59375,2020,2021,2021-04-29
Brendan Donahue,Sharp Football Analysis,1,1,51.04166666666666,49.0,0.5104166666666666,0.84375,0.34375,0.3125,4.9375,2021,2021,2021-04-29
Charlie Campbell,Walter Football,6,6,50.884184587813614,46.5,0.5088418458781362,0.8278965053763442,0.34931451612903225,0.2594758064516129,6.601344086021506,2020,2025,2025-04-24
Jared Smola,Draft Sharks,2,2,50.52083333333333,48.5,0.5052083333333333,0.890625,0.3125,0.25,7.0625,2024,2025,2025-04-24
Jared Wasserman,UD Review,1,1,50.0,48.0,0.5,0.8125,0.34375,0.21875,6.90625,2024,2024,2024-04-25
Maddy Hudak,Saints Wire,1,1,50.0,48.0,0.5,0.8125,0.34375,0.25,6.53125,2021,2021,2021-04-23
Jacob Camenker,USA Today,1,1,50.0,48.0,0.5,0.875,0.3125,0.28125,6.40625,2025,2025,2025-04-24
Staff,Daily Mail,1,1,50.0,48.0,0.5,0.875,0.3125,0.28125,5.53125,2024,2024,2024-04-24
Theo Gremminger,Player Profiler,1,1,50.0,48.0,0.5,0.875,0.3125,0.25,4.96875,2024,2024,2024-04-21
RJ White,Sportsline,1,1,50.0,15.0,0.5,0.9,0.3,0.2,4.5,2023,2023,2023-04-27
Les Bowen,Philadelphia Inquirer,1,1,48.95833333333333,47.0,0.4895833333333333,0.78125,0.34375,0.3125,6.375,2021,2021,2021-04-27
Staff,UK Draft,1,1,48.95833333333333,47.0,0.4895833333333333,0.78125,0.34375,0.3125,8.03125,2021,2021,2021-04-28
Tyler Jacobs,Stadium,1,1,48.95833333333333,47.0,0.4895833333333333,0.78125,0.34375,0.21875,9.15625,2020,2020,2020-04-15
Braden Holecek,Full Press Coverage,1,1,48.95833333333333,47.0,0.4895833333333333,0.84375,0.3125,0.21875,6.46875,2024,2024,2024-04-23
Freddy Branson,Johns Hopkins News-Letter,1,1,48.95833333333333,47.0,0.4895833333333333,0.84375,0.3125,0.375,9.53125,2025,2025,2025-04-23
Mike Kadlick,CLNS,1,1,48.95833333333333,47.0,0.4895833333333333,0.84375,0.3125,0.25,5.53125,2024,2024,2024-04-25
Scott Bogman,Fantasy Pros,1,1,48.95833333333333,47.0,0.4895833333333333,0.84375,0.3125,0.21875,6.4375,2024,2024,2024-04-23
Staff,Fox Sports,2,2,48.5383064516129,46.0,0.485383064516129,0.8251008064516129,0.3155241935483871,0.188508064516129,7.946572580645161,2023,2024,2024-04-25
Tom Downey,Chat Sports,2,2,48.4375,46.5,0.484375,0.890625,0.28125,0.1875,5.71875,2022,2024,2024-04-23
Dave Birkett,Detroit Free Press,1,1,47.91666666666667,46.0,0.4791666666666667,0.75,0.34375,0.375,8.03125,2020,2020,2020-04-22
John Kosko,Pro Football Focus,1,1,47.91666666666667,46.0,0.4791666666666667,0.75,0.34375,0.25,15.5625,2025,2025,2025-04-22
Michael Campbell,The Draft Zone,1,1,47.91666666666667,46.0,0.4791666666666667,0.75,0.34375,0.25,8.5,2021,2021,2021-04-14
Andy McNamara,Sportsnet,1,1,47.91666666666667,46.0,0.4791666666666667,0.8125,0.3125,0.25,7.21875,2021,2021,2021-04-28
Benjamin Solak,The Draft Network,1,1,47.91666666666667,46.0,0.4791666666666667,0.8125,0.3125,0.3125,6.375,2021,2021,2021-04-25
Ryan McFadden,Denver Post,1,1,47.91666666666667,46.0,0.4791666666666667,0.8125,0.3125,0.28125,5.125,2024,2024,2024-04-24
Zack Cox,NESN,1,1,47.91666666666667,46.0,0.4791666666666667,0.8125,0.3125,0.21875,9.0625,2020,2020,2020-04-19
Matt Rooney,Bleacher Nation,1,1,47.91666666666667,46.0,0.4791666666666667,0.875,0.28125,0.25,5.34375,2024,2024,2024-04-25
Matty Kiwoom,Player Profiler,1,1,47.91666666666667,46.0,0.4791666666666667,0.875,0.28125,0.1875,6.65625,2024,2024,2024-04-23
Zach Cohen,The Draft Network,1,1,47.91666666666667,46.0,0.4791666666666667,0.9375,0.25,0.15625,7.40625,2022,2022,2022-04-24
Ben Allbright,Pro Football Network,2,2,47.916666666666664,46.0,0.47916666666666663,0.8125,0.3125,0.328125,6.453125,2020,2021,2021-04-28
Andrew Callahan,Boston Herald,2,2,47.395833333333336,45.5,0.47395833333333337,0.859375,0.28125,0.203125,8.0625,2024,2025,2025-04-24
Matthew Freedman,Fantasy Life,2,2,47.395833333333336,45.5,0.47395833333333337,0.859375,0.28125,0.234375,6.703125,2024,2025,2025-04-24
Tyler Lauletta,Business Insider,1,1,47.31182795698925,44.0,0.4731182795698925,0.7096774193548387,0.3548387096774194,0.2258064516129032,9.580645161290322,2020,2020,2020-04-20
Hub Arkush,Shaw Local News Network,1,1,47.31182795698925,44.0,0.4731182795698925,0.8387096774193549,0.2903225806451613,0.2258064516129032,7.387096774193548,2023,2023,2023-04-21
Albert Breer,SI,4,4,47.13541666666667,45.25,0.4713541666666667,0.8515625,0.28125,0.2421875,5.78125,2021,2025,2025-04-24
