author_name,total_mocked_picks,historical_years_covered,overall_team_hits,overall_round_one_player_hits,overall_points,overall_max_points,overall_score,overall_weight
Connor Hughes,20,2,11,20,42,60,70.0,0.7
James Brizuela,10,1,5,10,20,30,66.66666666666667,0.6666666666666667
Jeff Howe,10,1,5,10,20,30,66.66666666666667,0.6666666666666667
Frank Schwab,10,1,5,9,19,30,63.333333333333336,0.6333333333333333
Gavino Borquez,10,1,5,9,19,30,63.333333333333336,0.6333333333333333
Ralph Vacchiano,10,1,4,10,18,30,60.0,0.6
Colin Cowherd,27,2,11,26,48,81,59.25925925925926,0.5925925925925926
Cecil Lammey,32,1,14,27,55,96,57.291666666666664,0.5729166666666666
Andy Staples,32,1,14,26,54,96,56.25,0.5625
Cade Clodi,10,1,3,10,16,30,53.333333333333336,0.5333333333333333
Garion Thorne,10,1,3,10,16,30,53.333333333333336,0.5333333333333333
Jordan Reid,32,1,12,26,50,96,52.083333333333336,0.5208333333333334
Chris Simms,32,1,11,28,50,96,52.083333333333336,0.5208333333333334
Josh Larky,32,1,11,28,50,96,52.083333333333336,0.5208333333333334
Judah Fortgang,16,1,5,15,25,48,52.083333333333336,0.5208333333333334
Parker Hurley,16,2,5,15,25,48,52.083333333333336,0.5208333333333334
John Crumpler,20,1,6,19,31,60,51.666666666666664,0.5166666666666666
Zach Goodall,32,1,12,25,49,96,51.041666666666664,0.5104166666666666
Brendan Donahue,32,1,11,27,49,96,51.041666666666664,0.5104166666666666
Charlie Campbell,183,6,64,151,279,549,50.81967213114754,0.5081967213114754
Jared Smola,64,2,20,57,97,192,50.520833333333336,0.5052083333333334
Zach Cohen,64,2,20,57,97,192,50.520833333333336,0.5052083333333334
Jared Wasserman,32,1,11,26,48,96,50.0,0.5
Maddy Hudak,32,1,11,26,48,96,50.0,0.5
Theo Gremminger,32,1,10,28,48,96,50.0,0.5
Les Bowen,32,1,11,25,47,96,48.958333333333336,0.48958333333333337
Tyler Jacobs,32,1,11,25,47,96,48.958333333333336,0.48958333333333337
Braden Holecek,32,1,10,27,47,96,48.958333333333336,0.48958333333333337
Freddy Branson,32,1,10,27,47,96,48.958333333333336,0.48958333333333337
Mike Kadlick,32,1,10,27,47,96,48.958333333333336,0.48958333333333337
Scott Bogman,32,1,10,27,47,96,48.958333333333336,0.48958333333333337
